世代,ペナルティ関数値,総移動コスト
1.0,130.4,586.0
2.0,76.4,791.51
3.0,43.6,817.44
4.0,29.0,807.97
5.0,27.0,847.73
6.0,26.4,840.76
7.0,25.6,800.93
8.0,23.0,815.76
9.0,20.4,840.51
10.0,20.4,840.51
11.0,20.2,822.23
12.0,17.0,847.34
13.0,17.0,871.25
14.0,12.2,867.84
15.0,12.2,867.84
16.0,11.6,889.67
17.0,11.6,889.67
18.0,11.6,889.67
19.0,11.6,889.67
20.0,11.6,889.67
21.0,9.6,934.08
22.0,9.6,934.08
23.0,8.2,959.22
24.0,8.2,959.22
25.0,8.2,959.22
26.0,8.2,944.8
27.0,6.8,1017.17
28.0,6.8,1005.67
29.0,6.8,1005.67
30.0,6.8,1005.67
31.0,6.8,1005.67
32.0,6.8,1005.67
33.0,6.8,1006.75
34.0,6.8,1006.75
35.0,6.8,1006.75
36.0,6.2,961.01
37.0,6.2,940.9
38.0,4.8,1030.35
39.0,4.8,1030.35
40.0,4.8,1030.35
41.0,4.8,1030.35
42.0,4.8,1079.97
43.0,4.8,1041.02
44.0,4.8,1041.02
45.0,4.8,1041.02
46.0,4.8,1036.62
47.0,4.8,1036.62
48.0,4.8,1036.62
49.0,4.8,1036.62
