世代,ペナルティ関数値,総移動コスト
1.0,638.47,1145.0
2.0,557.41,1394.13
3.0,557.41,1394.13
4.0,539.41,1408.34
5.0,539.41,1408.34
6.0,538.47,1411.17
7.0,531.53,1411.62
8.0,468.47,1411.01
9.0,446.47,1413.17
10.0,440.47,1421.8
11.0,440.47,1421.8
12.0,437.41,1455.55
13.0,437.41,1455.55
14.0,420.47,1402.9
15.0,388.47,1428.15
16.0,376.47,1420.49
17.0,376.47,1420.49
18.0,376.47,1420.49
19.0,374.35,1425.5
20.0,368.47,1459.93
21.0,364.47,1506.52
22.0,364.47,1506.52
23.0,346.47,1504.86
24.0,266.47,1514.66
25.0,266.47,1514.66
26.0,243.53,1505.06
27.0,228.59,1512.25
28.0,228.59,1512.25
29.0,228.59,1512.25
30.0,228.59,1512.25
31.0,228.59,1512.25
32.0,193.53,1508.4
33.0,193.53,1508.4
34.0,193.53,1508.4
35.0,193.53,1508.4
36.0,188.47,1490.5
37.0,159.65,1462.26
38.0,159.53,1492.85
39.0,159.53,1492.85
40.0,154.59,1463.88
41.0,154.47,1467.4
42.0,140.47,1501.22
43.0,140.47,1501.22
44.0,140.47,1501.22
45.0,140.47,1501.22
46.0,135.53,1490.61
47.0,128.47,1539.36
48.0,128.47,1539.36
49.0,124.59,1486.7
50.0,115.53,1521.25
51.0,115.53,1521.25
52.0,115.53,1480.47
53.0,111.65,1491.46
54.0,111.65,1491.46
55.0,110.47,1522.34
56.0,106.59,1515.63
57.0,106.59,1515.63
58.0,106.59,1515.63
59.0,106.59,1515.63
60.0,96.59,1503.14
61.0,96.59,1503.14
62.0,96.59,1500.66
63.0,84.59,1509.09
64.0,84.59,1509.09
65.0,84.59,1509.09
66.0,84.59,1509.09
67.0,79.65,1496.68
68.0,74.59,1512.16
69.0,74.59,1512.16
70.0,74.59,1512.16
71.0,74.59,1512.16
72.0,72.59,1517.44
73.0,72.59,1517.44
74.0,72.59,1517.44
75.0,72.59,1517.44
76.0,72.59,1517.44
77.0,68.59,1567.71
78.0,68.59,1567.71
79.0,67.65,1527.92
80.0,66.59,1537.21
81.0,63.65,1578.46
82.0,63.65,1528.64
83.0,63.65,1528.64
84.0,63.65,1528.64
85.0,63.65,1528.64
86.0,63.65,1528.64
87.0,63.65,1528.64
88.0,63.65,1528.64
89.0,63.65,1528.64
90.0,63.65,1528.64
91.0,63.65,1528.64
92.0,63.65,1528.64
