世代,ペナルティ関数値,総移動コスト
1.0,912.36,1390.0
2.0,873.64,1650.38
3.0,870.0,1711.61
4.0,862.36,1687.01
5.0,820.36,1701.07
6.0,772.0,1727.34
7.0,772.0,1727.34
8.0,772.0,1727.34
9.0,745.64,1760.6
10.0,711.64,1760.03
11.0,711.64,1760.03
12.0,711.64,1760.03
13.0,711.64,1760.03
14.0,711.64,1760.03
15.0,695.64,1770.69
16.0,677.64,1772.32
17.0,677.64,1772.32
18.0,645.64,1770.05
19.0,630.36,1762.33
20.0,630.36,1762.33
21.0,620.0,1774.35
22.0,610.0,1776.64
23.0,610.0,1776.64
24.0,600.73,1739.5
25.0,588.0,1786.59
26.0,578.0,1776.05
27.0,578.0,1776.05
28.0,535.64,1771.86
29.0,497.64,1785.38
30.0,497.64,1785.38
31.0,496.0,1801.35
32.0,490.36,1805.58
33.0,490.36,1805.58
34.0,475.64,1780.22
35.0,456.0,1760.41
36.0,446.36,1761.84
37.0,446.36,1761.84
38.0,446.36,1761.84
39.0,446.36,1761.84
40.0,427.64,1797.99
41.0,427.64,1797.99
42.0,407.64,1725.86
43.0,395.09,1802.76
44.0,386.0,1779.05
45.0,368.36,1809.6
46.0,368.36,1809.6
47.0,368.36,1809.6
48.0,354.73,1801.74
49.0,354.73,1801.74
50.0,347.09,1791.02
51.0,316.36,1803.47
52.0,316.36,1803.47
53.0,316.36,1803.47
54.0,314.73,1810.4
55.0,304.36,1829.5
56.0,304.36,1829.5
57.0,286.0,1824.63
58.0,278.36,1815.74
59.0,272.0,1827.7
60.0,267.45,1813.4
61.0,266.0,1832.2
62.0,263.09,1826.06
63.0,257.09,1852.57
64.0,257.09,1852.57
65.0,257.09,1852.57
66.0,252.36,1830.17
67.0,252.0,1832.37
68.0,244.36,1834.26
69.0,242.73,1835.19
70.0,238.36,1855.41
71.0,238.36,1855.41
72.0,238.36,1855.41
73.0,233.09,1846.0
74.0,233.09,1846.0
75.0,233.09,1846.0
76.0,233.09,1846.0
77.0,233.09,1846.0
78.0,232.73,1833.39
79.0,230.36,1834.31
80.0,226.73,1830.63
81.0,226.73,1830.63
82.0,226.73,1830.63
83.0,226.73,1847.68
84.0,226.73,1836.1
85.0,226.73,1836.1
86.0,226.73,1836.1
87.0,226.73,1836.1
88.0,226.73,1836.1
89.0,226.73,1836.1
90.0,226.73,1836.1
91.0,226.73,1836.1
