α,値,実行,ルート数,距離
0,0.01,success,12,914.62
1,0.0125892541179,success,12,950.6
2,0.0158489319246,success,12,932.71
3,0.0199526231497,success,12,976.84
4,0.0251188643151,success,12,971.05
5,0.0316227766017,success,12,974.23
6,0.0398107170553,success,12,903.75
7,0.0501187233627,success,12,907.66
8,0.063095734448,success,12,992.84
9,0.0794328234724,success,12,956.32
10,0.1,success,12,979.56
11,0.125892541179,success,12,915.74
12,0.158489319246,success,12,922.87
13,0.199526231497,success,12,908.38
14,0.251188643151,success,12,959.17
15,0.316227766017,success,12,958.06
16,0.398107170553,success,12,903.81
17,0.501187233627,success,12,1019.64
18,0.63095734448,success,12,958.31
19,0.794328234724,success,12,889.52
20,1.0,success,12,1012.55
21,1.25892541179,success,12,979.13
22,1.58489319246,success,12,969.89
23,1.99526231497,success,12,929.95
24,2.51188643151,success,12,969.87
25,3.16227766017,success,11,878.11
26,3.98107170553,success,12,914.84
27,5.01187233627,success,12,909.51
28,6.3095734448,success,12,1015.02
29,7.94328234724,success,12,916.5
30,10.0,success,12,952.77
31,12.5892541179,success,12,899.53
32,15.8489319246,success,11,992.55
33,19.9526231497,success,12,912.15
34,25.1188643151,success,12,911.44
35,31.6227766017,success,12,922.19
36,39.8107170553,success,12,893.94
37,50.1187233627,success,12,930.73
38,63.095734448,success,11,885.7
39,79.4328234724,success,12,915.0
40,100.0,success,12,961.31
"[0, 5]","[5, 3]","[7, 3]","[7, 8]","[8, 9]","[6, 9]","[4, 6]","[2, 4]","[1, 2]","[75, 1]","[75, 0]","[0, 11]","[11, 12]","[14, 12]","[16, 14]","[15, 16]","[15, 19]","[19, 18]","[18, 17]","[13, 17]","[13, 0]","[0, 20]","[20, 21]","[21, 22]","[22, 24]","[24, 25]","[25, 27]","[29, 27]","[29, 30]","[30, 28]","[26, 28]","[23, 26]","[23, 0]","[0, 32]","[33, 32]","[31, 33]","[35, 31]","[37, 35]","[38, 37]","[39, 38]","[39, 36]","[36, 34]","[34, 0]","[0, 41]","[41, 40]","[40, 44]","[44, 42]","[42, 43]","[43, 0]","[0, 52]","[52, 49]","[49, 47]","[47, 46]","[45, 46]","[48, 45]","[51, 48]","[50, 51]","[50, 0]","[0, 57]","[57, 55]","[54, 55]","[53, 54]","[53, 56]","[58, 56]","[60, 58]","[59, 60]","[0, 59]","[0, 67]","[65, 67]","[63, 65]","[63, 74]","[74, 62]","[66, 62]","[69, 66]","[69, 68]","[68, 64]","[61, 64]","[72, 61]","[72, 0]","[0, 80]","[80, 79]","[79, 77]","[77, 73]","[73, 70]","[71, 70]","[71, 76]","[78, 76]","[81, 78]","[81, 0]","[0, 91]","[89, 91]","[88, 89]","[88, 85]","[85, 84]","[82, 84]","[83, 82]","[86, 83]","[87, 86]","[90, 87]","[90, 0]","[0, 98]","[96, 98]","[95, 96]","[94, 95]","[94, 92]","[92, 93]","[93, 97]","[97, 100]","[99, 100]","[99, 10]","[10, 0]"
最短コスト:,878.11
計算時間：,1119.1397898197174
修正時間：,70.4495108127594
トラック容量：,200,期間制約,1040
サービス時間：,90
