α,値,実行,ルート数,距離
0,0.01,success,6,623.54
1,0.0125892541179,success,6,621.96
2,0.0158489319246,success,7,638.82
3,0.0199526231497,success,6,616.58
4,0.0251188643151,success,7,620.9
5,0.0316227766017,success,7,680.6
6,0.0398107170553,success,7,617.58
7,0.0501187233627,success,7,670.73
8,0.063095734448,success,6,663.36
9,0.0794328234724,success,6,632.25
10,0.1,success,6,635.01
11,0.125892541179,success,7,635.7
12,0.158489319246,success,7,653.42
13,0.199526231497,success,7,623.73
14,0.251188643151,success,7,641.39
15,0.316227766017,success,6,665.35
16,0.398107170553,success,7,616.05
17,0.501187233627,success,6,652.82
18,0.63095734448,success,7,638.35
19,0.794328234724,success,7,630.14
20,1.0,success,7,633.98
21,1.25892541179,success,6,618.21
22,1.58489319246,success,6,638.25
23,1.99526231497,success,7,648.94
24,2.51188643151,success,7,623.88
25,3.16227766017,success,6,621.59
26,3.98107170553,success,7,616.04
27,5.01187233627,success,7,606.63
28,6.3095734448,success,7,641.51
29,7.94328234724,success,7,618.97
30,10.0,success,7,664.59
31,12.5892541179,success,7,620.77
32,15.8489319246,success,7,624.04
33,19.9526231497,success,7,658.76
34,25.1188643151,success,6,622.76
35,31.6227766017,success,7,640.54
36,39.8107170553,success,7,635.28
37,50.1187233627,success,7,626.22
38,63.095734448,success,7,617.93
39,79.4328234724,success,7,630.11
40,100.0,success,7,636.73
"[0, 9]","[9, 34]","[30, 34]","[10, 30]","[39, 10]","[39, 33]","[45, 33]","[15, 45]","[15, 0]","[0, 16]","[16, 50]","[21, 50]","[29, 21]","[2, 29]","[2, 11]","[11, 32]","[32, 0]","[0, 20]","[20, 35]","[35, 36]","[36, 3]","[3, 28]","[31, 28]","[31, 26]","[26, 8]","[8, 1]","[22, 1]","[27, 22]","[0, 27]","[0, 38]","[49, 38]","[5, 49]","[5, 12]","[12, 47]","[47, 4]","[4, 18]","[18, 0]","[0, 46]","[0, 46]","[6, 0]","[6, 48]","[48, 23]","[7, 23]","[43, 7]","[24, 43]","[24, 0]","[13, 41]","[41, 40]","[19, 40]","[42, 19]","[42, 44]","[44, 37]","[37, 17]","[17, 0]","[14, 0]","[14, 25]","[25, 13]"
最短コスト:,606.63
計算時間：,345.8417983055115
修正時間：,29.868353605270386
トラック容量：,160,期間制約,200
サービス時間：,10
