α,値,実行,ルート数,距離
1,0.0125892541179,error,2,466.0
2,0.0158489319246,error,1,459.57
3,0.0199526231497,error,2,475.0
4,0.0251188643151,error,2,461.82
5,0.0316227766017,error,2,450.27
6,0.0398107170553,error,2,468.77
7,0.0501187233627,error,2,473.16
8,0.063095734448,error,3,471.87
9,0.0794328234724,error,3,476.92
10,0.1,error,4,495.56
11,0.125892541179,error,3,468.89
12,0.158489319246,error,3,473.53
13,0.199526231497,error,4,485.81
14,0.251188643151,success,4,531.95
15,0.316227766017,success,5,536.28
16,0.398107170553,success,4,545.72
17,0.501187233627,success,4,525.66
18,0.63095734448,success,4,546.66
19,0.794328234724,success,4,572.69
20,1.0,success,4,561.03
21,1.25892541179,success,4,588.11
22,1.58489319246,success,4,532.15
23,1.99526231497,success,4,532.96
24,2.51188643151,success,4,536.85
25,3.16227766017,success,4,539.13
26,3.98107170553,success,4,523.88
27,5.01187233627,success,5,545.13
28,6.3095734448,success,4,520.89
29,7.94328234724,success,4,526.39
30,10.0,success,5,534.74
31,12.5892541179,success,5,537.0
32,15.8489319246,success,4,557.66
33,19.9526231497,success,4,528.41
34,25.1188643151,success,4,532.15
35,31.6227766017,success,5,524.02
36,39.8107170553,success,4,523.57
37,50.1187233627,success,4,535.8
38,63.095734448,success,4,545.98
39,79.4328234724,success,4,557.92
40,100.0,success,4,528.27
"[0, 11]","[11, 32.0]","[27, 32.0]","[48, 27]","[23, 48.0]","[7, 23.0]","[7, 43]","[43, 24.0]","[6, 24]","[47, 6]","[47, 12.0]","[12, 0]","[0, 18]","[18, 14]","[14, 25.0]","[25, 13.0]","[13, 41]","[41, 40.0]","[40, 19]","[42, 19]","[42, 44.0]","[44, 37]","[37, 0]","[0, 38]","[38, 16]","[2, 16.0]","[20, 2]","[20, 35.0]","[35, 36]","[36, 3.0]","[3, 28]","[31, 28]","[26, 31.0]","[8, 26.0]","[22, 8]","[22, 1.0]","[1, 0]","[0, 46]","[46, 5]","[5, 49]","[49, 9.0]","[9, 50]","[50, 29]","[29, 21.0]","[34, 21.0]","[30, 34.0]","[10, 30.0]","[10, 39.0]","[39, 33.0]","[45, 33.0]","[15, 45]","[15, 17]","[17, 4]","[4, 0]"
計算時間：,950.1369559764862
