α,値,実行,ルート数,距離
1,0.0125892541179,error,1,584.96
2,0.0158489319246,error,5,648.17
3,0.0199526231497,error,5,645.04
4,0.0251188643151,error,4,630.93
5,0.0316227766017,error,3,583.64
6,0.0398107170553,error,4,633.24
7,0.0501187233627,error,5,676.89
8,0.063095734448,error,2,587.64
9,0.0794328234724,error,3,638.78
10,0.1,error,6,676.14
11,0.125892541179,error,6,706.88
12,0.158489319246,error,6,664.68
13,0.199526231497,error,8,750.82
14,0.251188643151,error,7,715.02
15,0.316227766017,error,9,796.72
16,0.398107170553,success,11,876.57
17,0.501187233627,error,10,859.77
18,0.63095734448,error,11,875.84
19,0.794328234724,success,10,880.57
20,1.0,success,10,977.49
21,1.25892541179,success,11,896.46
22,1.58489319246,success,10,859.45
23,1.99526231497,success,10,877.81
24,2.51188643151,success,11,901.97
25,3.16227766017,success,10,866.86
26,3.98107170553,success,11,892.04
27,5.01187233627,success,11,880.42
28,6.3095734448,success,11,881.91
29,7.94328234724,success,10,865.01
30,10.0,success,11,876.89
31,12.5892541179,success,10,856.28
32,15.8489319246,success,11,884.12
33,19.9526231497,success,11,882.07
34,25.1188643151,success,10,881.12
35,31.6227766017,success,11,882.01
36,39.8107170553,success,11,895.23
37,50.1187233627,success,11,896.56
38,63.095734448,success,10,860.99
39,79.4328234724,success,11,885.35
40,100.0,success,11,897.44
"[0, 4]","[4, 0]","[0, 5]","[5, 36]","[36, 69]","[71, 69.0]","[60, 71.0]","[70, 60]","[70, 20.0]","[20, 37.0]","[37, 15]","[57, 15]","[57, 13.0]","[13, 0]","[0, 6]","[6, 2]","[2, 74.0]","[30, 74.0]","[29.0, 30]","[29, 45.0]","[45, 75]","[75, 0]","[0, 7]","[7, 8]","[8, 54]","[54, 27]","[27, 52.0]","[52, 46.0]","[46, 34]","[0, 34]","[0, 9.0]","[9, 39.0]","[39, 72.0]","[72, 58.0]","[58, 11]","[11, 53]","[53, 35.0]","[35, 0]","[0, 23]","[23, 56.0]","[56, 41.0]","[41.0, 43]","[43, 42.0]","[42, 64.0]","[64, 22.0]","[22, 61]","[61, 0]","[0, 32]","[50, 32.0]","[18, 50]","[55, 18]","[25, 55.0]","[31, 25]","[31, 10.0]","[10, 0]","[0, 38]","[38, 65.0]","[65, 66]","[66, 59]","[59, 14.0]","[14, 19]","[19, 0]","[0, 48]","[48, 47]","[47, 21.0]","[21.0, 28]","[62, 28.0]","[1, 62]","[1, 73.0]","[73, 0]","[0, 51]","[51, 3]","[3, 44.0]","[44, 24]","[24, 49.0]","[49, 16.0]","[16, 63]","[33.0, 63]","[33, 68]","[68, 0]","[0, 67.0]","[26, 67.0]","[12, 26.0]","[40, 12.0]","[40, 17.0]","[17, 0]"
計算時間：,2112.8728001117706
