α,値,実行,ルート数,距離
1,0.0125892541179,error,7,962.92
2,0.0158489319246,error,8,1031.03
3,0.0199526231497,error,10,1056.16
4,0.0251188643151,error,11,1035.49
5,0.0316227766017,error,9,1073.97
6,0.0398107170553,error,7,976.28
7,0.0501187233627,error,11,1241.32
8,0.063095734448,error,11,1096.99
9,0.0794328234724,error,10,1297.04
10,0.1,error,11,1140.6
11,0.125892541179,error,13,1176.86
12,0.158489319246,error,15,1305.35
13,0.199526231497,error,15,1305.22
14,0.251188643151,success,17,1538.79
15,0.316227766017,error,16,1307.63
16,0.398107170553,success,17,1385.03
17,0.501187233627,success,17,1400.8
18,0.63095734448,success,17,1403.74
19,0.794328234724,success,17,1389.64
20,1.0,success,18,1385.36
21,1.25892541179,success,17,1435.82
22,1.58489319246,success,17,1388.55
23,1.99526231497,error,17,1507.26
24,2.51188643151,success,17,1363.86
25,3.16227766017,success,17,1362.29
26,3.98107170553,success,17,1364.39
27,5.01187233627,success,17,1378.79
28,6.3095734448,success,17,1365.42
29,7.94328234724,success,17,1367.23
30,10.0,success,17,1380.97
31,12.5892541179,success,17,1380.04
32,15.8489319246,success,18,1391.35
33,19.9526231497,success,17,1393.21
34,25.1188643151,success,18,1377.65
35,31.6227766017,success,17,1380.83
36,39.8107170553,success,17,1387.39
37,50.1187233627,success,17,1374.32
38,63.095734448,success,17,1395.86
39,79.4328234724,success,17,1379.29
40,100.0,success,17,1370.54
"[0, 12]","[12, 109.0]","[109, 177.0]","[177, 150.0]","[80, 150.0]","[68, 80.0]","[121, 68]","[29, 121.0]","[24, 29.0]","[163, 24.0]","[134, 163]","[134, 130.0]","[130, 54.0]","[54, 0]","[0, 27.0]","[27, 167]","[167, 127.0]","[127.0, 0]","[0, 28]","[28, 111.0]","[111, 184]","[184.0, 116]","[116, 196.0]","[196, 157]","[157, 102.0]","[102, 50.0]","[50, 1.0]","[1, 176.0]","[132, 176.0]","[69, 132.0]","[0, 69]","[0, 52]","[52, 114]","[114, 125]","[45, 125.0]","[17, 45.0]","[113, 17]","[61, 113]","[173, 61.0]","[84, 173.0]","[84, 5.0]","[5, 118]","[60, 118.0]","[0, 60]","[0, 53]","[53, 152.0]","[58, 152.0]","[183, 58]","[183, 147]","[89, 147.0]","[112, 89]","[156, 112.0]","[0, 156]","[0, 70]","[70, 30]","[30, 9]","[9, 120.0]","[120, 81]","[33, 81.0]","[185, 33.0]","[79, 185]","[158, 79.0]","[158, 3.0]","[77.0, 3.0]","[76, 77.0]","[76, 0]","[0, 83]","[83, 199.0]","[199.0, 8]","[174, 8.0]","[46, 174]","[46, 124.0]","[124, 168.0]","[47, 168.0]","[36, 47]","[143, 36.0]","[49, 143.0]","[64, 49]","[181, 64]","[181, 63]","[126, 63.0]","[0, 126.0]","[0, 94]","[94, 95]","[95, 87]","[87, 144.0]","[144, 172.0]","[172, 42]","[142, 42.0]","[43, 142.0]","[43, 15.0]","[15, 57]","[57, 178.0]","[2, 178.0]","[13, 2]","[13, 0]","[0, 101]","[101, 162.0]","[162, 31.0]","[31, 190.0]","[190, 88]","[88, 182]","[182, 7.0]","[194, 7.0]","[106, 194]","[106, 153.0]","[18, 153.0]","[166, 18.0]","[0, 166]","[0, 110]","[4, 110.0]","[4, 155.0]","[197, 155.0]","[197, 72.0]","[74, 72.0]","[171, 74.0]","[171, 133.0]","[22, 133.0]","[41, 22]","[145, 41]","[145, 115.0]","[115, 137]","[137, 0]","[0, 117]","[97, 117.0]","[151.0, 97]","[92, 151.0]","[92, 98.0]","[98, 37.0]","[100, 37.0]","[100, 85]","[85, 93.0]","[93, 59.0]","[104, 59.0]","[104, 99.0]","[96.0, 99.0]","[96, 6]","[6, 0]","[0, 122]","[122, 20]","[188, 20.0]","[66, 188.0]","[66, 128.0]","[128, 160.0]","[131, 160.0]","[32, 131.0]","[32, 90.0]","[90.0, 108]","[10, 108.0]","[189, 10.0]","[0, 189]","[0, 129]","[129, 169]","[169, 78.0]","[78, 34.0]","[34, 164]","[135, 164]","[35, 135]","[35, 136.0]","[136, 65.0]","[65, 71.0]","[161, 71.0]","[103, 161.0]","[51, 103]","[51, 0]","[0, 148]","[148, 62.0]","[159, 62.0]","[11, 159]","[11, 175.0]","[175, 107]","[107, 19.0]","[19, 123]","[123, 48.0]","[82, 48.0]","[146, 82]","[146, 0]","[0, 165]","[165, 55.0]","[55, 25.0]","[25, 170.0]","[170, 139]","[187, 139]","[39, 187.0]","[67, 39]","[67, 23.0]","[23, 186.0]","[186, 56]","[56, 75.0]","[75.0, 73]","[73, 0]","[0, 192]","[14, 192.0]","[119, 14.0]","[44, 119.0]","[38, 44]","[140, 38]","[140, 86.0]","[86, 16.0]","[141, 16.0]","[191, 141.0]","[191, 91]","[91, 193.0]","[193, 0]","[21, 180]","[40, 180.0]","[105, 40.0]","[105, 0]","[138, 0]","[138, 154.0]","[26, 154.0]","[149, 26.0]","[195, 149.0]","[179, 195]","[179, 198]","[21, 198.0]"
計算時間：,20412.841929912567
