α,値,実行,ルート数,距離
1,0.0125892541179,error,2,455.62
2,0.0158489319246,error,2,477.45
3,0.0199526231497,error,4,498.22
4,0.0251188643151,error,3,481.06
5,0.0316227766017,error,2,464.38
6,0.0398107170553,error,2,448.56
7,0.0501187233627,error,2,446.98
8,0.063095734448,error,2,466.99
9,0.0794328234724,error,2,456.14
10,0.1,error,2,456.52
11,0.125892541179,error,4,500.74
12,0.158489319246,error,4,512.96
13,0.199526231497,error,4,501.76
14,0.251188643151,error,4,504.12
15,0.316227766017,success,5,615.12
16,0.398107170553,success,5,606.72
17,0.501187233627,success,6,568.31
18,0.63095734448,success,6,561.83
19,0.794328234724,success,6,567.19
20,1.0,success,6,565.74
21,1.25892541179,success,6,562.65
22,1.58489319246,success,6,559.4
23,1.99526231497,success,6,574.94
24,2.51188643151,success,6,574.94
25,3.16227766017,success,6,561.65
26,3.98107170553,success,6,576.41
27,5.01187233627,success,6,573.15
28,6.3095734448,success,6,574.94
29,7.94328234724,success,6,568.31
30,10.0,success,6,574.94
31,12.5892541179,success,6,576.41
32,15.8489319246,success,6,573.98
33,19.9526231497,success,6,574.94
34,25.1188643151,success,6,567.7
35,31.6227766017,success,6,567.58
36,39.8107170553,success,6,562.65
37,50.1187233627,success,6,574.94
38,63.095734448,success,6,564.34
39,79.4328234724,success,6,562.65
40,100.0,success,6,573.98
"[0, 1]","[1, 32.0]","[32, 11.0]","[11, 16.0]","[16, 38]","[38, 5.0]","[5, 12]","[46, 12.0]","[0, 46]","[0, 8]","[8, 26.0]","[31, 26.0]","[28, 31.0]","[28, 3.0]","[3, 36.0]","[36, 35]","[35, 20.0]","[20, 2]","[2, 22]","[22, 0]","[0, 14]","[14, 25.0]","[25, 13]","[41, 13]","[41, 40.0]","[19, 40.0]","[42, 19]","[42, 44.0]","[44, 37]","[17, 37.0]","[0, 17.0]","[0, 18]","[18, 4.0]","[4, 47.0]","[47, 0]","[0, 27]","[27, 48]","[23, 48.0]","[7, 23.0]","[43, 7]","[43, 24.0]","[24, 6]","[6, 0]","[0, 49]","[9, 49.0]","[50, 9.0]","[50, 29]","[29, 21.0]","[34, 21.0]","[30, 34.0]","[30, 10.0]","[10, 39.0]","[33, 39.0]","[45, 33.0]","[15, 45]","[15, 0]"
計算時間：,942.539635181427
