α,値,実行,ルート数,距離
1,0.0125892541179,error,4,709.91
2,0.0158489319246,error,3,711.25
3,0.0199526231497,error,4,746.7
4,0.0251188643151,error,3,704.14
5,0.0316227766017,error,5,743.51
6,0.0398107170553,error,3,717.97
7,0.0501187233627,error,5,754.55
8,0.063095734448,error,4,735.94
9,0.0794328234724,error,6,776.2
10,0.1,error,6,797.57
11,0.125892541179,error,6,786.5
12,0.158489319246,error,7,812.95
13,0.199526231497,success,8,929.37
14,0.251188643151,success,8,894.76
15,0.316227766017,success,8,921.45
16,0.398107170553,success,8,856.96
17,0.501187233627,success,8,894.45
18,0.63095734448,success,8,886.1
19,0.794328234724,success,8,881.79
20,1.0,success,8,901.78
21,1.25892541179,success,8,904.09
22,1.58489319246,success,8,919.16
23,1.99526231497,success,8,873.57
24,2.51188643151,success,8,880.93
25,3.16227766017,success,8,886.96
26,3.98107170553,success,8,872.66
27,5.01187233627,success,8,894.67
28,6.3095734448,success,9,902.34
29,7.94328234724,success,8,855.54
30,10.0,success,8,902.12
31,12.5892541179,success,8,868.37
32,15.8489319246,success,8,877.49
33,19.9526231497,success,8,877.02
34,25.1188643151,success,8,865.41
35,31.6227766017,success,8,871.94
36,39.8107170553,success,8,886.89
37,50.1187233627,success,8,872.49
38,63.095734448,success,8,902.56
39,79.4328234724,success,8,880.23
40,100.0,success,8,879.4
"[0, 4]","[4, 55.0]","[55, 25.0]","[25, 39.0]","[39, 67.0]","[67, 23.0]","[23, 56]","[75, 56.0]","[41, 75.0]","[22, 41]","[74, 22]","[74, 72.0]","[72, 0]","[0, 6]","[6, 96]","[96, 99.0]","[93, 99.0]","[59, 93.0]","[59, 97]","[87, 97.0]","[42, 87]","[43, 42]","[15, 43]","[57, 15.0]","[2, 57.0]","[2, 73.0]","[21, 73.0]","[40, 21]","[26, 40.0]","[26, 0]","[0, 27]","[27, 52]","[52, 31]","[10, 31]","[62, 10.0]","[88, 62]","[7, 88.0]","[82, 7.0]","[82, 8]","[8, 83]","[83, 5]","[60, 5.0]","[18, 60]","[18, 89.0]","[89, 0]","[0, 50.0]","[50, 76.0]","[80, 76.0]","[68, 80]","[77, 68.0]","[3, 77]","[79, 3.0]","[29, 79]","[29, 24]","[24, 54.0]","[12, 54]","[12, 28.0]","[28, 0]","[0, 53]","[53, 58.0]","[58.0, 13]","[95.0, 13]","[94, 95.0]","[94, 0]","[0, 69.0]","[69, 1.0]","[1, 33]","[51, 33.0]","[9, 51.0]","[81, 9.0]","[78, 81]","[34, 78]","[34, 35.0]","[35, 71]","[71, 65.0]","[65, 66.0]","[66, 20]","[20, 30]","[70, 30.0]","[0, 70]","[0, 84]","[84, 17]","[17, 45.0]","[45, 46]","[47, 46.0]","[36, 47]","[36, 49.0]","[49, 64.0]","[64, 63.0]","[63, 32.0]","[32, 90]","[11, 90]","[11, 19.0]","[19, 48.0]","[48, 0]","[0, 92]","[37, 92.0]","[37, 100.0]","[100, 91.0]","[91, 44]","[14, 44]","[38, 14.0]","[38, 86.0]","[86, 16.0]","[16, 61]","[85, 61]","[98, 85.0]","[0, 98]"
計算時間：,4213.200951337814
