α,値,実行,ルート数,距離
0,0.01,error,7,910.56
1,0.0125892541179,error,8,884.33
2,0.0158489319246,error,9,963.33
3,0.0199526231497,error,6,958.84
4,0.0251188643151,error,7,925.09
5,0.0316227766017,error,8,913.02
6,0.0398107170553,error,7,853.4
7,0.0501187233627,error,7,944.55
8,0.063095734448,error,7,886.26
9,0.0794328234724,error,10,993.55
10,0.1,error,8,905.5
11,0.125892541179,error,11,1042.5
12,0.158489319246,error,11,1064.83
13,0.199526231497,error,11,1075.95
14,0.251188643151,error,12,1059.05
15,0.316227766017,success,12,1111.78
16,0.398107170553,error,12,1097.02
17,0.501187233627,success,12,1331.76
18,0.63095734448,success,12,1161.22
19,0.794328234724,success,12,1149.37
20,1.0,success,12,1422.57
21,1.25892541179,success,12,1157.62
22,1.58489319246,success,12,1255.94
23,1.99526231497,success,12,1086.97
24,2.51188643151,success,12,1210.44
25,3.16227766017,success,12,1160.32
26,3.98107170553,success,12,1099.48
27,5.01187233627,success,12,1495.95
28,6.3095734448,success,12,1207.38
29,7.94328234724,success,12,1456.34
30,10.0,success,12,1361.52
31,12.5892541179,success,12,1233.81
32,15.8489319246,success,12,1572.62
33,19.9526231497,success,12,1231.9
34,25.1188643151,success,12,1148.63
35,31.6227766017,success,12,1103.65
36,39.8107170553,success,12,1338.76
37,50.1187233627,success,12,1230.3
38,63.095734448,success,12,1269.84
39,79.4328234724,success,12,1109.17
40,100.0,success,12,1186.46
"[0, 5]","[84, 5]","[84, 113]","[113, 17]","[45, 17]","[125, 45]","[114, 125]","[114, 83]","[83, 118]","[118, 60]","[18, 60]","[0, 18]","[0, 27]","[27, 132]","[132, 69]","[69, 101]","[1, 101]","[111, 1]","[76, 111]","[12, 76]","[12, 109]","[54, 109]","[149, 54]","[149, 26]","[138, 26]","[138, 28]","[28, 0]","[0, 37]","[100, 37]","[91, 100]","[141, 91]","[44, 141]","[119, 44]","[119, 14]","[14, 38]","[38, 140]","[140, 86]","[86, 16]","[61, 16]","[61, 0]","[0, 50]","[102, 50]","[33, 102]","[33, 81]","[120, 81]","[120, 9]","[9, 103]","[103, 108]","[10, 108]","[10, 0]","[0, 52]","[106, 52]","[7, 106]","[82, 7]","[123, 82]","[123, 124]","[36, 124]","[36, 143]","[143, 64]","[63, 64]","[126, 63]","[90, 126]","[90, 32]","[32, 131]","[131, 128]","[66, 128]","[66, 20]","[20, 0]","[0, 58]","[58, 2]","[2, 115]","[115, 21]","[21, 74]","[74, 22]","[22, 41]","[41, 145]","[57, 145]","[57, 15]","[43, 15]","[43, 142]","[142, 42]","[144, 42]","[87, 144]","[87, 13]","[13, 0]","[0, 110]","[110, 4]","[4, 25]","[25, 55]","[130, 55]","[134, 130]","[24, 134]","[29, 24]","[121, 29]","[3, 121]","[3, 77]","[116, 77]","[68, 116]","[68, 150]","[80, 150]","[80, 0]","[0, 117]","[97, 117]","[97, 95]","[95, 92]","[98, 92]","[85, 98]","[85, 93]","[93, 59]","[59, 99]","[99, 104]","[104, 96]","[96, 94]","[6, 94]","[6, 0]","[0, 139]","[139, 39]","[39, 67]","[23, 67]","[23, 56]","[56, 75]","[133, 75]","[133, 72]","[72, 73]","[40, 73]","[40, 137]","[137, 0]","[0, 146]","[146, 89]","[89, 147]","[112, 147]","[53, 112]","[53, 105]","[105, 0]","[8, 0]","[46, 8]","[46, 48]","[47, 48]","[49, 47]","[49, 19]","[19, 107]","[11, 107]","[11, 62]","[148, 62]","[88, 148]","[88, 0]","[30, 70]","[31, 70]","[127, 31]","[127, 0]","[79, 0]","[129, 79]","[78, 129]","[34, 78]","[34, 135]","[135, 35]","[136, 35]","[136, 65]","[65, 71]","[71, 51]","[51, 122]","[122, 30]"
計算時間：,17320.296426534653
修正時間：,6549.7174344062805
トラック容量：,200,期間制約,inf
