α,値,実行,ルート数,距離
0,0.01,error,2,688.32
1,0.0125892541179,error,4,748.42
2,0.0158489319246,error,4,744.29
3,0.0199526231497,error,6,770.89
4,0.0251188643151,error,3,712.56
5,0.0316227766017,error,2,706.45
6,0.0398107170553,error,4,737.63
7,0.0501187233627,error,4,757.32
8,0.063095734448,error,3,722.85
9,0.0794328234724,error,4,754.4
10,0.1,error,6,775.76
11,0.125892541179,error,7,819.04
12,0.158489319246,error,6,785.0
13,0.199526231497,error,7,819.96
14,0.251188643151,error,7,829.0
15,0.316227766017,success,8,917.56
16,0.398107170553,success,8,1038.66
17,0.501187233627,success,8,942.1
18,0.63095734448,success,8,934.85
19,0.794328234724,success,8,876.67
20,1.0,success,8,909.87
21,1.25892541179,success,8,924.79
22,1.58489319246,success,8,868.02
23,1.99526231497,success,8,868.82
24,2.51188643151,success,8,865.33
25,3.16227766017,success,8,933.0
26,3.98107170553,success,8,918.81
27,5.01187233627,success,8,901.1
28,6.3095734448,success,8,886.64
29,7.94328234724,success,8,992.32
30,10.0,success,8,883.07
31,12.5892541179,success,8,941.17
32,15.8489319246,success,8,940.87
33,19.9526231497,success,8,874.71
34,25.1188643151,success,8,890.54
35,31.6227766017,success,8,898.09
36,39.8107170553,success,8,891.51
37,50.1187233627,success,8,887.86
38,63.095734448,success,8,1011.58
39,79.4328234724,success,8,868.6
40,100.0,success,8,900.29
"[0, 26]","[12, 26]","[12, 80]","[80, 68]","[76, 68]","[76, 77]","[3, 77]","[79, 3]","[29, 79]","[24, 29]","[54, 24]","[54, 21]","[73, 21]","[40, 73]","[40, 0]","[0, 28]","[1, 28]","[69, 1]","[27, 69]","[52, 27]","[88, 52]","[31, 88]","[10, 31]","[10, 62]","[62, 7]","[82, 7]","[8, 82]","[8, 83]","[18, 83]","[89, 18]","[89, 0]","[0, 48]","[48, 19]","[19, 11]","[11, 90]","[32, 90]","[63, 32]","[64, 63]","[49, 64]","[36, 49]","[36, 47]","[46, 47]","[46, 45]","[45, 17]","[17, 84]","[84, 0]","[0, 50]","[33, 50]","[81, 33]","[81, 78]","[78, 34]","[34, 35]","[71, 35]","[65, 71]","[66, 65]","[20, 66]","[9, 20]","[9, 51]","[30, 51]","[70, 30]","[0, 70]","[0, 53]","[58, 53]","[58, 13]","[13, 94]","[94, 0]","[0, 98]","[85, 98]","[61, 85]","[16, 61]","[86, 16]","[38, 86]","[14, 38]","[44, 14]","[44, 91]","[91, 100]","[37, 100]","[37, 92]","[92, 0]","[2, 0]","[57, 2]","[15, 57]","[15, 43]","[43, 42]","[42, 87]","[97, 87]","[95, 97]","[95, 96]","[96, 99]","[59, 99]","[93, 59]","[93, 5]","[5, 60]","[6, 60]","[6, 0]","[4, 0]","[55, 4]","[25, 55]","[39, 25]","[67, 39]","[67, 23]","[23, 56]","[56, 75]","[75, 41]","[41, 22]","[74, 22]","[72, 74]","[72, 0]"
計算時間：,6832.38192486763
修正時間：,2426.4380872249603
トラック容量：,200,期間制約,inf
