α,値,実行,ルート数,距離
0,0.01,error,7,696.26
1,0.0125892541179,error,7,725.92
2,0.0158489319246,error,4,622.44
3,0.0199526231497,error,6,699.52
4,0.0251188643151,error,5,673.88
5,0.0316227766017,error,5,697.61
6,0.0398107170553,error,7,683.57
7,0.0501187233627,error,5,694.92
8,0.063095734448,error,7,690.46
9,0.0794328234724,error,7,708.45
10,0.1,error,7,718.62
11,0.125892541179,error,7,718.82
12,0.158489319246,error,6,660.66
13,0.199526231497,error,7,708.04
14,0.251188643151,success,10,1244.89
15,0.316227766017,success,10,1098.01
16,0.398107170553,error,10,853.45
17,0.501187233627,success,10,936.66
18,0.63095734448,success,10,1045.21
19,0.794328234724,success,10,940.98
20,1.0,success,11,1128.24
21,1.25892541179,success,10,989.4
22,1.58489319246,success,10,998.41
23,1.99526231497,error,10,900.06
24,2.51188643151,success,11,877.16
25,3.16227766017,success,10,981.95
26,3.98107170553,success,10,910.7
27,5.01187233627,success,10,995.5
28,6.3095734448,success,11,1218.39
29,7.94328234724,success,11,934.24
30,10.0,success,10,1118.39
31,12.5892541179,success,10,937.61
32,15.8489319246,success,11,895.44
33,19.9526231497,success,10,1041.29
34,25.1188643151,success,11,1003.01
35,31.6227766017,success,10,986.75
36,39.8107170553,success,11,968.66
37,50.1187233627,success,11,1089.04
38,63.095734448,success,10,889.94
39,79.4328234724,success,10,978.43
40,100.0,success,11,931.93
"[0, 6]","[6, 73]","[1, 73]","[16, 1]","[63, 16]","[63, 33]","[0, 33]","[0, 21]","[21, 61]","[61, 74]","[30, 74]","[28, 30]","[28, 2]","[2, 0]","[0, 23]","[56, 23]","[41, 56]","[42, 41]","[43, 42]","[43, 64]","[64, 22]","[22, 62]","[62, 0]","[0, 29]","[5, 29]","[37, 5]","[20, 37]","[20, 70]","[70, 60]","[60, 71]","[71, 69]","[69, 36]","[36, 47]","[47, 0]","[0, 46]","[34, 46]","[34, 26]","[26, 67]","[67, 0]","[0, 49]","[24, 49]","[18, 24]","[50, 18]","[50, 25]","[55, 25]","[31, 55]","[10, 31]","[72, 10]","[72, 0]","[0, 51]","[51, 17]","[12, 17]","[58, 12]","[38, 58]","[53, 38]","[53, 7]","[7, 0]","[0, 52]","[52, 27]","[15, 27]","[15, 57]","[13, 57]","[54, 13]","[54, 19]","[8, 19]","[35, 8]","[35, 0]","[3, 0]","[44, 3]","[32, 44]","[9, 32]","[39, 9]","[40, 39]","[40, 0]","[4, 0]","[4, 45]","[45, 48]","[48, 68]","[75, 68]","[75, 0]","[11, 0]","[65, 11]","[66, 65]","[66, 59]","[59, 14]","[14, 0]"
計算時間：,3873.0687963962555
修正時間：,1613.7483415603638
トラック容量：,140,期間制約,inf
