世代,ペナルティ関数値,総移動コスト
1.0,407.64,887.0
2.0,326.73,1071.25
3.0,314.73,1070.13
4.0,295.64,1082.45
5.0,295.64,1082.45
6.0,276.73,1082.33
7.0,239.82,1104.31
8.0,214.73,1094.53
9.0,209.64,1102.64
10.0,202.55,1121.02
11.0,202.55,1132.59
12.0,196.55,1133.23
13.0,184.55,1146.92
14.0,182.55,1158.25
15.0,165.45,1165.1
16.0,163.27,1145.58
17.0,162.36,1126.93
18.0,150.36,1134.26
19.0,127.27,1140.8
20.0,113.27,1137.54
21.0,104.18,1140.53
22.0,95.27,1150.34
23.0,86.36,1152.87
24.0,86.36,1152.87
25.0,80.36,1176.96
26.0,80.36,1176.96
27.0,80.36,1172.41
28.0,80.36,1189.25
29.0,78.36,1174.24
30.0,77.27,1186.52
31.0,77.27,1186.52
32.0,74.18,1238.57
33.0,74.18,1249.53
34.0,74.18,1249.53
35.0,74.18,1225.41
36.0,74.18,1225.41
37.0,74.18,1225.41
38.0,74.18,1225.41
39.0,74.18,1225.41
40.0,74.18,1225.41
41.0,74.18,1225.41
42.0,74.18,1225.41
43.0,74.18,1225.41
