世代,ペナルティ関数値,総移動コスト
1.0,191.0,581.0
2.0,161.0,695.79
3.0,145.0,718.73
4.0,124.75,739.51
5.0,115.0,745.39
6.0,115.0,745.39
7.0,103.25,740.91
8.0,89.5,755.76
9.0,89.5,757.08
10.0,89.5,757.08
11.0,85.75,782.93
12.0,75.5,808.55
13.0,75.5,808.55
14.0,69.5,796.74
15.0,69.25,790.5
16.0,67.0,798.46
17.0,63.25,799.99
18.0,55.5,826.18
19.0,45.5,800.32
20.0,43.75,794.58
21.0,39.5,800.98
22.0,37.75,823.87
23.0,21.5,778.96
24.0,21.5,778.96
25.0,17.5,849.58
26.0,17.5,848.05
27.0,15.25,818.91
28.0,15.25,818.91
29.0,15.25,818.91
30.0,15.25,813.95
31.0,15.25,813.95
32.0,15.25,813.95
33.0,15.25,813.95
34.0,15.25,834.81
35.0,15.25,834.81
36.0,15.25,834.81
37.0,15.0,832.63
38.0,15.0,837.93
39.0,11.25,878.95
40.0,11.25,878.95
41.0,11.25,878.95
42.0,11.25,837.12
43.0,11.25,868.23
44.0,11.25,873.83
45.0,11.25,873.83
46.0,11.25,873.83
47.0,11.25,873.83
48.0,11.25,873.83
49.0,11.25,873.83
50.0,11.25,906.04
