世代,ペナルティ関数値,総移動コスト
1.0,468.57,841.0
2.0,351.43,1170.7
3.0,351.43,1174.86
4.0,330.0,1178.37
5.0,308.57,1200.82
6.0,308.57,1200.82
7.0,308.57,1207.82
8.0,290.0,1203.49
9.0,290.0,1203.49
10.0,288.57,1176.32
11.0,288.57,1181.49
12.0,250.0,1217.64
13.0,250.0,1217.64
14.0,250.0,1217.64
15.0,248.57,1197.29
16.0,231.43,1216.96
17.0,230.0,1190.49
18.0,230.0,1196.46
19.0,230.0,1196.46
20.0,230.0,1189.28
21.0,228.57,1194.25
22.0,228.57,1194.25
23.0,228.57,1194.25
24.0,228.57,1194.25
25.0,228.57,1194.25
26.0,228.57,1202.07
27.0,228.57,1202.07
28.0,228.57,1202.07
29.0,228.57,1207.24
30.0,228.57,1207.24
31.0,228.57,1207.24
32.0,228.57,1207.24
