世代,ペナルティ関数値,総移動コスト
1.0,592.0,1132.0
2.0,592.0,1132.0
3.0,554.0,1297.75
4.0,554.0,1297.75
5.0,536.0,1371.8
6.0,536.0,1371.8
7.0,504.0,1297.52
8.0,490.0,1307.17
9.0,472.0,1305.79
10.0,472.0,1374.33
11.0,452.0,1372.79
12.0,394.0,1306.39
13.0,394.0,1310.15
14.0,376.0,1324.18
15.0,376.0,1324.18
16.0,376.0,1324.18
17.0,352.0,1330.27
18.0,326.0,1336.69
19.0,324.0,1339.45
20.0,280.0,1323.59
21.0,280.0,1323.59
22.0,262.0,1324.73
23.0,262.0,1324.73
24.0,248.0,1353.16
25.0,236.0,1335.13
26.0,236.0,1335.13
27.0,236.0,1332.89
28.0,230.0,1350.87
29.0,230.0,1342.61
30.0,218.0,1363.49
31.0,218.0,1363.49
32.0,216.0,1364.76
33.0,202.0,1365.6
34.0,200.0,1362.55
35.0,198.0,1350.99
36.0,198.0,1350.99
37.0,198.0,1366.72
38.0,192.0,1356.82
39.0,188.0,1378.04
40.0,174.0,1376.96
41.0,172.0,1371.66
42.0,172.0,1366.7
43.0,172.0,1366.7
44.0,170.0,1376.96
45.0,170.0,1376.96
46.0,170.0,1392.33
47.0,166.0,1367.14
48.0,166.0,1367.14
49.0,166.0,1367.14
50.0,164.0,1373.3
51.0,164.0,1387.47
52.0,156.0,1409.1
53.0,154.0,1406.57
54.0,154.0,1406.57
55.0,152.0,1383.64
56.0,150.0,1387.63
57.0,148.0,1393.8
58.0,106.0,1399.09
59.0,106.0,1399.09
60.0,100.0,1399.46
61.0,100.0,1423.58
62.0,100.0,1423.58
63.0,100.0,1418.06
64.0,100.0,1418.06
65.0,100.0,1418.06
66.0,100.0,1418.06
67.0,100.0,1418.06
68.0,100.0,1418.06
69.0,100.0,1418.06
70.0,100.0,1418.06
71.0,100.0,1418.06
