世代,ペナルティ関数値,総移動コスト
1.0,182.67,583.0
2.0,143.33,761.79
3.0,98.0,794.51
4.0,64.0,762.15
5.0,56.67,813.31
6.0,48.67,821.04
7.0,37.33,781.97
8.0,37.33,781.97
9.0,31.33,784.95
10.0,31.33,784.95
11.0,30.67,823.27
12.0,28.0,836.23
13.0,27.33,833.21
14.0,24.0,947.37
15.0,23.33,952.33
16.0,22.0,964.1
17.0,14.67,929.89
18.0,12.67,934.13
19.0,12.67,936.77
20.0,12.0,957.62
21.0,12.0,957.62
22.0,12.0,957.62
23.0,12.0,972.11
24.0,12.0,957.54
25.0,12.0,957.54
26.0,12.0,957.54
27.0,12.0,957.54
28.0,12.0,957.54
29.0,12.0,957.54
30.0,10.0,972.0
31.0,10.0,993.66
32.0,10.0,993.66
33.0,10.0,976.19
34.0,10.0,976.19
35.0,10.0,971.62
36.0,10.0,971.62
37.0,10.0,971.62
38.0,10.0,971.62
39.0,10.0,971.62
40.0,10.0,971.62
41.0,10.0,971.62
