x,y,d
0.0,0.0,0.0
1.0,12.0,94.0
2.0,11.0,12.0
3.0,17.0,17.0
4.0,15.0,619.0
5.0,7.0,61.0
6.0,10.0,3.0
7.0,9.0,4.0
8.0,12.0,13.0
9.0,13.0,44.0
10.0,7.0,12.0
11.0,5.0,35.0
12.0,22.0,114.0
13.0,1.0,29.0
14.0,14.0,76.0
15.0,8.0,106.0
16.0,11.0,157.0
17.0,26.0,43.0
18.0,28.0,4.0
19.0,15.0,38.0
20.0,22.0,212.0
21.0,18.0,42.0
22.0,11.0,10.0
23.0,14.0,19.0
24.0,5.0,856.0
25.0,22.0,13.0
26.0,4.0,67.0
27.0,11.0,144.0
28.0,22.0,310.0
29.0,50.0,85.0
30.0,66.0,1061.0
31.0,63.0,344.0
32.0,64.0,22.0
33.0,92.0,15.0
34.0,90.0,219.0
35.0,92.0,44.0
36.0,64.0,370.0
37.0,92.0,74.0
38.0,70.0,82.0
39.0,83.0,3.0
40.0,87.0,39.0
41.0,71.0,54.0
42.0,89.0,22.0
43.0,92.0,171.0
44.0,76.0,65.0
45.0,65.0,405.0
46.0,90.0,19.0
47.0,64.0,7.0
48.0,68.0,586.0
49.0,90.0,15.0
50.0,69.0,149.0
51.0,14.0,141.0
52.0,27.0,9.0
53.0,20.0,261.0
54.0,18.0,4.0
55.0,14.0,5.0
56.0,24.0,21.0
57.0,12.0,25.0
58.0,24.0,86.0
59.0,13.0,86.0
60.0,20.0,124.0
61.0,28.0,123.0
62.0,18.0,11.0
63.0,30.0,41.0
64.0,20.0,279.0
65.0,22.0,149.0
66.0,-68.0,9.0
67.0,-67.0,65.0
68.0,-54.0,155.0
69.0,-56.0,6.0
70.0,-46.0,83.0
71.0,-62.0,11.0
72.0,-5.0,735.0
73.0,-9.0,4.0
74.0,-13.0,56.0
75.0,4.0,26.0
76.0,-6.0,5.0
77.0,-5.0,34.0
78.0,-5.0,13.0
79.0,-16.0,1017.0
80.0,-2.0,85.0
81.0,-6.0,10.0
82.0,83.0,7.0
83.0,85.0,6.0
84.0,90.0,524.0
85.0,87.0,16.0
86.0,88.0,15.0
87.0,-16.0,117.0
88.0,-24.0,48.0
89.0,-11.0,43.0
90.0,-22.0,64.0
91.0,-17.0,30.0
92.0,-19.0,3.0
93.0,-11.0,21.0
94.0,50.0,514.0
95.0,50.0,625.0
96.0,55.0,7.0
97.0,40.0,257.0
98.0,37.0,603.0
99.0,45.0,4.0
100.0,24.0,4.0
101.0,24.0,21.0
102.0,22.0,54.0
103.0,20.0,9.0
104.0,32.0,860.0
105.0,23.0,9.0
106.0,23.0,62.0
107.0,24.0,16.0
108.0,29.0,197.0
109.0,-2.0,14.0
110.0,-2.0,6.0
111.0,13.0,140.0
112.0,1.0,334.0
113.0,1.0,421.0
114.0,13.0,911.0
115.0,11.0,789.0
116.0,12.0,37.0
117.0,6.0,7.0
118.0,6.0,131.0
119.0,10.0,25.0
120.0,0.0,24.0
121.0,-1.0,3.0
122.0,88.0,1027.0
123.0,93.0,114.0
124.0,91.0,34.0
125.0,92.0,6.0
126.0,91.0,530.0
127.0,96.0,75.0
128.0,90.0,794.0
129.0,92.0,241.0
130.0,92.0,18.0
131.0,88.0,243.0
132.0,96.0,31.0
133.0,93.0,5.0
134.0,-114.0,68.0
135.0,-102.0,30.0
136.0,-121.0,497.0
137.0,-123.0,15.0
138.0,25.0,583.0
139.0,26.0,911.0
140.0,26.0,388.0
141.0,23.0,36.0
142.0,31.0,7.0
143.0,19.0,206.0
144.0,30.0,1037.0
145.0,20.0,14.0
146.0,19.0,22.0
147.0,28.0,16.0
148.0,20.0,770.0
149.0,19.0,148.0
150.0,23.0,50.0
