x,y,d
0.0,0.0,0.0
1.0,-75.0,50.0
2.0,-76.0,50.0
3.0,-80.0,170.0
4.0,-66.0,297.0
5.0,-65.0,9.0
6.0,-71.0,630.0
7.0,-76.0,179.0
8.0,-69.0,179.0
9.0,-76.0,216.0
10.0,-81.0,4.0
11.0,-69.0,9.0
12.0,2.0,154.0
13.0,0.0,117.0
14.0,-9.0,63.0
15.0,18.0,436.0
16.0,-5.0,905.0
17.0,-6.0,14.0
18.0,8.0,3.0
19.0,15.0,10.0
20.0,6.0,166.0
21.0,12.0,211.0
22.0,-2.0,8.0
23.0,15.0,25.0
24.0,5.0,139.0
25.0,16.0,213.0
26.0,0.0,758.0
27.0,11.0,429.0
28.0,-2.0,5.0
29.0,-25.0,136.0
30.0,-26.0,501.0
31.0,-22.0,93.0
32.0,-20.0,21.0
33.0,-19.0,169.0
34.0,-27.0,22.0
35.0,-15.0,3.0
36.0,-13.0,271.0
37.0,-17.0,433.0
38.0,-15.0,3.0
39.0,-10.0,1079.0
40.0,-26.0,233.0
41.0,-26.0,11.0
42.0,-26.0,10.0
43.0,-14.0,78.0
44.0,-12.0,63.0
45.0,-24.0,4.0
46.0,-13.0,59.0
47.0,-16.0,8.0
48.0,-12.0,34.0
49.0,-12.0,234.0
50.0,-12.0,30.0
51.0,-27.0,40.0
52.0,3.0,123.0
53.0,-4.0,7.0
54.0,-10.0,33.0
55.0,-11.0,369.0
56.0,-1.0,11.0
57.0,-6.0,23.0
58.0,-3.0,208.0
59.0,-17.0,4.0
60.0,-11.0,8.0
61.0,-25.0,36.0
62.0,1.0,504.0
63.0,-6.0,16.0
64.0,-7.0,574.0
65.0,-15.0,19.0
66.0,-18.0,235.0
67.0,-21.0,445.0
68.0,-18.0,6.0
69.0,-15.0,43.0
70.0,60.0,210.0
71.0,74.0,268.0
72.0,67.0,410.0
73.0,72.0,124.0
74.0,101.0,11.0
75.0,113.0,1085.0
76.0,103.0,5.0
77.0,28.0,529.0
78.0,35.0,107.0
79.0,31.0,274.0
80.0,29.0,23.0
81.0,28.0,156.0
82.0,-53.0,32.0
83.0,-55.0,177.0
84.0,-48.0,16.0
85.0,-57.0,8.0
86.0,-49.0,19.0
87.0,-61.0,52.0
88.0,-57.0,47.0
89.0,6.0,4.0
90.0,6.0,372.0
91.0,23.0,525.0
92.0,13.0,101.0
93.0,24.0,898.0
94.0,6.0,40.0
95.0,5.0,32.0
96.0,-1.0,1017.0
97.0,16.0,103.0
98.0,8.0,109.0
99.0,-1.0,76.0
100.0,15.0,1025.0
101.0,21.0,53.0
102.0,2.0,22.0
103.0,16.0,991.0
104.0,18.0,4.0
105.0,11.0,147.0
106.0,4.0,49.0
107.0,16.0,276.0
108.0,25.0,7.0
109.0,108.0,78.0
110.0,102.0,389.0
111.0,108.0,4.0
112.0,108.0,388.0
113.0,104.0,135.0
114.0,100.0,233.0
115.0,111.0,74.0
116.0,102.0,51.0
117.0,101.0,4.0
118.0,112.0,216.0
119.0,105.0,85.0
120.0,-4.0,37.0
121.0,-7.0,6.0
122.0,8.0,12.0
123.0,1.0,12.0
124.0,7.0,45.0
125.0,-8.0,3.0
126.0,-9.0,122.0
127.0,-2.0,46.0
128.0,-7.0,132.0
129.0,-10.0,464.0
130.0,10.0,11.0
131.0,-6.0,11.0
132.0,3.0,16.0
133.0,-5.0,119.0
134.0,3.0,60.0
135.0,-2.0,14.0
136.0,-4.0,13.0
137.0,-10.0,90.0
138.0,2.0,5.0
139.0,-3.0,458.0
140.0,13.0,6.0
141.0,18.0,3.0
142.0,-2.0,99.0
143.0,10.0,73.0
144.0,-4.0,13.0
145.0,1.0,10.0
146.0,19.0,9.0
147.0,3.0,417.0
148.0,-3.0,150.0
149.0,4.0,49.0
150.0,1.0,271.0
