x,y,d
0.0,0.0,0.0
1.0,-4.0,1066.0
2.0,0.0,841.0
3.0,6.0,74.0
4.0,0.0,687.0
5.0,-3.0,175.0
6.0,-1.0,183.0
7.0,0.0,124.0
8.0,-2.0,4.0
9.0,1.0,81.0
10.0,-4.0,56.0
11.0,-4.0,29.0
12.0,-4.0,23.0
13.0,1.0,4.0
14.0,3.0,9.0
15.0,2.0,7.0
16.0,109.0,181.0
17.0,115.0,54.0
18.0,111.0,884.0
19.0,107.0,822.0
20.0,114.0,637.0
21.0,108.0,59.0
22.0,107.0,140.0
23.0,109.0,531.0
24.0,114.0,58.0
25.0,116.0,15.0
26.0,111.0,11.0
27.0,108.0,185.0
28.0,117.0,159.0
29.0,115.0,285.0
30.0,105.0,4.0
31.0,115.0,10.0
32.0,104.0,3.0
33.0,104.0,4.0
34.0,114.0,11.0
35.0,117.0,45.0
36.0,5.0,4.0
37.0,18.0,225.0
38.0,23.0,286.0
39.0,15.0,262.0
40.0,13.0,4.0
41.0,17.0,391.0
42.0,17.0,54.0
43.0,10.0,518.0
44.0,13.0,815.0
45.0,25.0,25.0
46.0,19.0,29.0
47.0,26.0,18.0
48.0,8.0,588.0
49.0,20.0,68.0
50.0,9.0,480.0
51.0,14.0,5.0
52.0,16.0,16.0
53.0,4.0,34.0
54.0,22.0,5.0
55.0,-108.0,9.0
56.0,-122.0,22.0
57.0,-125.0,120.0
58.0,-132.0,152.0
59.0,-111.0,21.0
60.0,-126.0,44.0
61.0,-127.0,676.0
62.0,-122.0,17.0
63.0,-113.0,764.0
64.0,-43.0,13.0
65.0,-27.0,6.0
66.0,-58.0,718.0
67.0,-43.0,52.0
68.0,-14.0,11.0
69.0,-16.0,93.0
70.0,-13.0,398.0
71.0,-4.0,48.0
72.0,-5.0,37.0
73.0,-15.0,3.0
74.0,-8.0,8.0
75.0,-7.0,406.0
76.0,-3.0,1086.0
77.0,-4.0,3.0
78.0,50.0,52.0
79.0,53.0,88.0
80.0,51.0,28.0
81.0,61.0,686.0
82.0,56.0,25.0
83.0,51.0,101.0
84.0,57.0,4.0
85.0,3.0,15.0
86.0,5.0,445.0
87.0,-1.0,4.0
88.0,2.0,593.0
89.0,4.0,327.0
90.0,4.0,92.0
91.0,1.0,21.0
92.0,3.0,12.0
93.0,3.0,44.0
94.0,6.0,773.0
95.0,5.0,4.0
96.0,9.0,14.0
97.0,0.0,783.0
98.0,0.0,3.0
99.0,1.0,500.0
100.0,6.0,390.0
101.0,0.0,64.0
102.0,1.0,90.0
103.0,-1.0,8.0
104.0,6.0,931.0
105.0,0.0,496.0
106.0,6.0,19.0
107.0,7.0,325.0
108.0,-2.0,56.0
109.0,7.0,20.0
110.0,4.0,338.0
111.0,7.0,5.0
112.0,34.0,17.0
113.0,28.0,222.0
114.0,26.0,6.0
115.0,24.0,4.0
116.0,19.0,8.0
117.0,35.0,164.0
118.0,22.0,96.0
119.0,9.0,6.0
120.0,14.0,630.0
121.0,11.0,4.0
122.0,14.0,115.0
123.0,15.0,645.0
124.0,18.0,187.0
125.0,25.0,260.0
126.0,62.0,5.0
127.0,77.0,9.0
128.0,69.0,9.0
129.0,76.0,4.0
130.0,59.0,17.0
131.0,67.0,167.0
132.0,60.0,1026.0
133.0,77.0,25.0
134.0,66.0,104.0
135.0,73.0,7.0
136.0,65.0,48.0
137.0,57.0,153.0
138.0,61.0,30.0
139.0,67.0,161.0
140.0,68.0,3.0
141.0,63.0,12.0
142.0,57.0,4.0
143.0,59.0,55.0
144.0,-39.0,11.0
145.0,-43.0,3.0
146.0,-47.0,14.0
147.0,-46.0,408.0
148.0,-48.0,49.0
149.0,-37.0,4.0
150.0,-46.0,5.0
