x,y,d
0.0,0.0,0.0
1.0,-18.0,643.0
2.0,-19.0,622.0
3.0,-11.0,727.0
4.0,-17.0,50.0
5.0,-16.0,235.0
6.0,-9.0,30.0
7.0,-6.0,5.0
8.0,-11.0,43.0
9.0,-19.0,398.0
10.0,-19.0,81.0
11.0,-10.0,14.0
12.0,21.0,171.0
13.0,33.0,209.0
14.0,36.0,20.0
15.0,42.0,13.0
16.0,26.0,93.0
17.0,21.0,16.0
18.0,39.0,3.0
19.0,26.0,391.0
20.0,23.0,52.0
21.0,20.0,905.0
22.0,23.0,56.0
23.0,20.0,203.0
24.0,28.0,87.0
25.0,38.0,1004.0
26.0,50.0,114.0
27.0,36.0,527.0
28.0,26.0,4.0
29.0,40.0,28.0
30.0,39.0,94.0
31.0,30.0,8.0
32.0,46.0,139.0
33.0,62.0,41.0
34.0,37.0,7.0
35.0,33.0,490.0
36.0,61.0,3.0
37.0,34.0,75.0
38.0,62.0,45.0
39.0,45.0,3.0
40.0,-10.0,410.0
41.0,-2.0,44.0
42.0,3.0,678.0
43.0,3.0,24.0
44.0,-11.0,10.0
45.0,1.0,12.0
46.0,-10.0,268.0
47.0,-9.0,7.0
48.0,-4.0,51.0
49.0,-12.0,448.0
50.0,-5.0,459.0
51.0,2.0,4.0
52.0,-12.0,20.0
53.0,-10.0,413.0
54.0,1.0,671.0
55.0,-8.0,195.0
56.0,-6.0,16.0
57.0,-1.0,683.0
58.0,-3.0,4.0
59.0,1.0,43.0
60.0,-61.0,45.0
61.0,-52.0,62.0
62.0,-61.0,14.0
63.0,-63.0,76.0
64.0,-63.0,101.0
65.0,-63.0,846.0
66.0,-54.0,157.0
67.0,-55.0,3.0
68.0,-59.0,13.0
69.0,-62.0,397.0
70.0,19.0,23.0
71.0,15.0,87.0
72.0,12.0,6.0
73.0,9.0,3.0
74.0,13.0,3.0
75.0,19.0,230.0
