x,y,d
0.0,0.0,0.0
30.0,0.0,10.0
29.6946,4.2694,30.0
28.7848,8.452,30.0
27.289,12.4625,10.0
25.2376,16.2192,10.0
22.6725,19.6458,30.0
19.6458,22.6725,30.0
16.2192,25.2376,10.0
12.4624,27.289,10.0
8.452,28.7848,30.0
4.2694,29.6946,30.0
0.0,30.0,10.0
-4.2694,29.6946,10.0
-8.452,28.7848,30.0
-12.4625,27.289,30.0
-16.2192,25.2376,10.0
-19.6458,22.6725,10.0
-22.6725,19.6458,30.0
-25.2376,16.2192,30.0
-27.289,12.4624,10.0
-28.7848,8.452,10.0
-29.6946,4.2694,30.0
-30.0,0.0,30.0
-29.6946,-4.2694,10.0
-28.7848,-8.452,10.0
-27.289,-12.4625,30.0
-25.2376,-16.2192,30.0
-22.6725,-19.6458,10.0
-19.6458,-22.6725,10.0
-16.2192,-25.2376,30.0
-12.4624,-27.289,30.0
-8.452,-28.7848,10.0
-4.2694,-29.6946,10.0
0.0,-30.0,30.0
4.2694,-29.6946,30.0
8.452,-28.7848,10.0
12.4625,-27.289,10.0
16.2192,-25.2376,30.0
19.6458,-22.6725,30.0
22.6725,-19.6458,10.0
25.2376,-16.2192,10.0
27.289,-12.4624,30.0
28.7848,-8.452,30.0
29.6946,-4.2694,10.0
60.0,0.0,10.0
59.3893,8.5389,30.0
57.5696,16.904,30.0
54.5779,24.9249,10.0
50.4752,32.4384,10.0
45.345,39.2916,30.0
39.2916,45.345,30.0
32.4384,50.4752,10.0
24.9249,54.5779,10.0
16.904,57.5696,30.0
8.5389,59.3893,30.0
0.0,60.0,10.0
-8.5389,59.3893,10.0
-16.904,57.5696,30.0
-24.9249,54.5779,30.0
-32.4385,50.4752,10.0
-39.2916,45.345,10.0
-45.345,39.2916,30.0
-50.4752,32.4384,30.0
-54.5779,24.9249,10.0
-57.5696,16.9039,10.0
-59.3893,8.5389,30.0
-60.0,0.0,30.0
-59.3893,-8.5389,10.0
-57.5696,-16.904,10.0
-54.5779,-24.9249,30.0
-50.4752,-32.4385,30.0
-45.345,-39.2916,10.0
-39.2916,-45.345,10.0
-32.4384,-50.4752,30.0
-24.9249,-54.5779,30.0
-16.9039,-57.5696,10.0
-8.5389,-59.3893,10.0
0.0,-60.0,30.0
8.5389,-59.3893,30.0
16.904,-57.5696,10.0
24.9249,-54.5779,10.0
32.4385,-50.4752,30.0
39.2917,-45.345,30.0
45.345,-39.2916,10.0
50.4752,-32.4384,10.0
54.5779,-24.9249,30.0
57.5696,-16.9039,30.0
59.3893,-8.5389,10.0
90.0,0.0,10.0
89.0839,12.8083,30.0
86.3544,25.3559,30.0
81.8669,37.3874,10.0
75.7128,48.6577,10.0
68.0175,58.9375,30.0
58.9375,68.0175,30.0
48.6577,75.7128,10.0
37.3873,81.8669,10.0
25.3559,86.3544,30.0
12.8083,89.0839,30.0
0.0,90.0,10.0
-12.8083,89.0839,10.0
-25.3559,86.3544,30.0
-37.3874,81.8669,30.0
-48.6577,75.7128,10.0
-58.9375,68.0175,10.0
-68.0175,58.9375,30.0
-75.7128,48.6577,30.0
-81.8669,37.3873,10.0
-86.3544,25.3559,10.0
-89.0839,12.8083,30.0
-90.0,0.0,30.0
-89.0839,-12.8083,10.0
-86.3544,-25.3559,10.0
-81.8669,-37.3874,30.0
-75.7128,-48.6577,30.0
-68.0175,-58.9375,10.0
-58.9375,-68.0175,10.0
-48.6577,-75.7128,30.0
-37.3873,-81.8669,30.0
-25.3559,-86.3544,10.0
-12.8083,-89.0839,10.0
0.0,-90.0,30.0
12.8083,-89.0839,30.0
25.3559,-86.3544,10.0
37.3874,-81.8669,10.0
48.6577,-75.7128,30.0
58.9375,-68.0175,30.0
