世代,ペナルティ関数値,総移動コスト
1.0,107.5,875.0
2.0,107.5,875.0
3.0,107.5,875.0
4.0,107.5,875.0
5.0,107.5,875.0
6.0,107.5,875.0
7.0,107.5,875.0
8.0,107.5,875.0
9.0,107.5,875.0
10.0,101.5,906.31
11.0,101.5,906.31
12.0,81.5,909.87
13.0,80.0,912.39
14.0,58.0,927.15
15.0,56.0,921.39
16.0,56.0,921.39
17.0,52.0,962.37
18.0,52.0,962.37
19.0,48.5,931.66
20.0,48.5,931.66
21.0,48.5,931.66
22.0,48.5,931.66
23.0,30.5,936.21
24.0,30.5,936.21
25.0,30.5,936.21
26.0,30.5,936.21
27.0,30.5,936.21
28.0,30.5,936.21
29.0,30.5,936.21
30.0,30.5,936.21
31.0,30.5,936.21
32.0,30.5,936.21
33.0,30.5,936.21
34.0,30.5,936.21
