世代,ペナルティ関数値,総移動コスト
1.0,436.55,910.0
2.0,407.45,1072.5
3.0,359.64,1144.4
4.0,349.64,1079.34
5.0,349.64,1079.34
6.0,332.36,1074.08
7.0,312.36,1072.12
8.0,308.36,1086.35
9.0,295.64,1100.58
10.0,223.45,1084.05
11.0,223.27,1106.1
12.0,173.27,1111.27
13.0,145.27,1110.32
14.0,138.36,1111.77
15.0,138.36,1111.77
16.0,135.45,1129.79
17.0,135.45,1129.79
18.0,126.73,1110.98
19.0,126.73,1110.98
20.0,126.73,1110.98
21.0,122.36,1143.31
22.0,122.36,1143.31
23.0,122.36,1144.91
24.0,102.55,1142.48
25.0,102.55,1142.48
26.0,87.64,1158.49
27.0,87.64,1158.49
28.0,85.64,1148.39
29.0,85.64,1148.39
30.0,83.45,1155.09
31.0,83.45,1155.09
32.0,83.45,1155.09
33.0,81.64,1128.25
34.0,81.64,1128.25
35.0,81.64,1128.25
36.0,81.64,1128.25
37.0,80.73,1174.73
38.0,76.73,1163.33
39.0,76.73,1163.33
40.0,64.36,1156.48
41.0,64.36,1156.48
42.0,64.36,1156.48
43.0,64.36,1156.48
44.0,64.36,1156.48
45.0,61.45,1174.0
46.0,58.55,1207.46
47.0,58.55,1211.63
48.0,57.45,1218.87
49.0,51.45,1192.13
50.0,51.45,1192.13
51.0,51.45,1192.13
52.0,44.36,1160.45
53.0,44.36,1160.45
54.0,39.45,1174.36
55.0,39.45,1174.36
56.0,36.36,1188.04
57.0,35.45,1171.69
58.0,35.45,1155.94
59.0,35.45,1155.94
60.0,35.45,1155.94
61.0,35.45,1155.94
62.0,35.45,1155.94
63.0,35.45,1155.94
64.0,35.45,1155.94
65.0,34.55,1175.32
66.0,34.55,1184.47
67.0,34.55,1184.47
68.0,34.55,1151.16
69.0,34.55,1151.16
70.0,34.55,1151.16
71.0,32.55,1175.43
72.0,28.55,1192.46
73.0,28.55,1192.46
74.0,28.55,1192.46
75.0,28.55,1192.46
76.0,28.55,1192.46
77.0,27.45,1179.83
78.0,27.45,1179.83
79.0,27.45,1179.83
80.0,27.45,1179.83
81.0,27.45,1172.5
82.0,27.45,1172.5
83.0,27.45,1172.5
84.0,27.45,1172.5
85.0,27.45,1172.5
86.0,26.36,1200.78
87.0,26.36,1200.78
88.0,26.36,1200.78
89.0,25.45,1190.19
90.0,25.45,1190.19
91.0,25.45,1190.19
92.0,25.45,1190.19
93.0,25.45,1190.19
94.0,25.45,1190.19
95.0,25.45,1190.19
96.0,25.45,1190.19
97.0,25.45,1190.19
98.0,25.45,1190.19
99.0,24.55,1209.93
100.0,24.55,1209.93
