世代,ペナルティ関数値,総移動コスト
1.0,207.0,582.0
2.0,185.25,695.43
3.0,149.0,720.3
4.0,149.0,720.3
5.0,131.5,730.63
6.0,125.0,722.93
7.0,103.25,706.67
8.0,103.25,706.67
9.0,99.5,736.49
10.0,78.75,757.42
11.0,78.75,757.42
12.0,56.75,769.45
13.0,56.75,769.45
14.0,55.0,795.01
15.0,43.0,782.86
16.0,43.0,782.86
17.0,42.75,805.89
18.0,36.75,805.45
19.0,34.75,815.95
20.0,31.0,822.14
21.0,31.0,822.14
22.0,31.0,822.14
23.0,21.0,823.83
24.0,21.0,823.83
25.0,21.0,823.83
26.0,16.75,859.19
27.0,15.25,851.2
28.0,13.25,855.17
29.0,13.25,855.17
30.0,13.25,855.17
31.0,13.25,855.17
32.0,11.0,890.54
33.0,9.25,917.89
34.0,9.25,917.89
35.0,9.25,917.89
36.0,9.25,917.89
37.0,9.25,864.57
38.0,9.25,864.57
39.0,9.25,864.57
40.0,9.25,864.57
41.0,9.25,864.57
42.0,7.5,887.65
43.0,7.5,887.65
44.0,7.5,887.65
45.0,7.5,887.65
46.0,7.5,887.65
47.0,7.5,887.65
48.0,7.5,887.65
49.0,7.5,887.65
50.0,7.5,887.65
51.0,7.5,887.65
52.0,7.5,887.65
53.0,7.5,887.65
