世代,ペナルティ関数値,総移動コスト
1.0,182.67,583.0
2.0,142.0,761.58
3.0,94.0,775.67
4.0,70.67,772.06
5.0,56.67,775.57
6.0,54.0,802.68
7.0,44.67,808.92
8.0,36.67,852.9
9.0,35.33,850.49
10.0,34.67,855.02
11.0,34.67,871.35
12.0,32.0,866.62
13.0,26.0,895.2
14.0,24.0,886.71
15.0,20.0,877.83
16.0,16.0,884.18
17.0,12.67,922.5
18.0,10.67,913.81
19.0,10.67,945.39
20.0,10.67,913.81
21.0,10.67,918.36
22.0,8.67,937.95
23.0,8.67,937.95
24.0,8.0,948.75
25.0,8.0,948.75
26.0,5.33,930.45
27.0,5.33,930.45
28.0,5.33,930.45
29.0,5.33,940.09
30.0,5.33,966.99
31.0,5.33,966.99
32.0,5.33,929.52
33.0,5.33,929.52
34.0,5.33,929.52
35.0,5.33,929.52
36.0,5.33,929.52
37.0,5.33,929.52
