世代,ペナルティ関数値,総移動コスト
1.0,412.86,921.0
2.0,371.14,1090.72
3.0,360.0,1108.65
4.0,360.0,1108.65
5.0,360.0,1108.65
6.0,342.0,1098.14
7.0,319.14,1114.34
8.0,304.0,1104.24
9.0,278.86,1117.17
10.0,244.86,1116.26
11.0,244.86,1116.26
12.0,244.86,1116.26
13.0,244.86,1116.26
14.0,208.86,1092.03
15.0,187.14,1110.1
16.0,183.14,1126.26
17.0,170.86,1099.31
18.0,146.86,1116.48
19.0,146.86,1104.42
20.0,137.71,1112.26
21.0,128.86,1117.98
22.0,114.86,1135.57
23.0,110.86,1132.03
24.0,106.0,1122.67
25.0,106.0,1122.67
26.0,94.86,1116.67
27.0,94.0,1132.35
28.0,90.86,1127.98
29.0,82.86,1144.02
30.0,82.86,1144.02
31.0,82.86,1129.08
32.0,82.86,1129.08
33.0,74.86,1124.64
34.0,74.86,1124.64
35.0,71.14,1131.84
36.0,71.14,1131.84
37.0,70.0,1139.53
38.0,70.0,1139.53
39.0,68.0,1145.65
40.0,62.0,1144.49
41.0,62.0,1120.76
42.0,62.0,1144.89
43.0,62.0,1144.89
44.0,62.0,1125.01
45.0,60.0,1154.21
46.0,60.0,1113.69
47.0,60.0,1113.69
48.0,60.0,1130.31
49.0,58.0,1139.57
50.0,58.0,1139.57
51.0,58.0,1125.54
52.0,56.0,1157.26
53.0,56.0,1170.76
54.0,53.14,1152.18
55.0,53.14,1152.18
56.0,53.14,1152.18
57.0,52.86,1169.51
58.0,49.14,1185.83
59.0,49.14,1179.4
60.0,49.14,1179.4
61.0,48.29,1172.11
62.0,48.29,1172.11
63.0,48.29,1172.11
64.0,48.29,1177.88
65.0,40.29,1190.61
66.0,40.29,1190.61
67.0,40.29,1190.61
68.0,35.43,1203.81
69.0,35.43,1203.81
70.0,35.43,1203.81
71.0,35.43,1203.81
72.0,35.43,1203.81
73.0,35.43,1203.81
74.0,35.43,1203.81
75.0,35.43,1203.81
76.0,35.43,1203.81
77.0,35.43,1205.02
78.0,35.43,1205.02
79.0,35.43,1200.64
