世代,ペナルティ関数値,総移動コスト
1.0,151.5,1135.0
2.0,151.5,1135.0
3.0,151.5,1135.0
4.0,151.5,1135.0
5.0,151.5,1135.0
6.0,151.5,1135.0
7.0,151.5,1135.0
8.0,151.5,1135.0
9.0,149.0,1157.05
10.0,149.0,1157.05
11.0,149.0,1159.01
12.0,147.5,1161.73
13.0,136.0,1144.68
14.0,136.0,1144.68
15.0,133.5,1164.51
16.0,123.5,1178.11
17.0,121.0,1184.02
18.0,121.0,1184.02
19.0,119.5,1163.76
20.0,118.0,1186.24
21.0,104.0,1176.85
22.0,94.0,1171.09
23.0,94.0,1171.09
24.0,91.5,1181.9
25.0,91.5,1194.49
26.0,91.5,1176.0
27.0,91.5,1176.0
28.0,90.0,1213.75
29.0,90.0,1217.06
30.0,90.0,1189.24
31.0,90.0,1189.24
32.0,90.0,1214.16
33.0,90.0,1214.16
34.0,90.0,1214.16
35.0,90.0,1214.16
36.0,90.0,1214.16
37.0,90.0,1214.16
38.0,90.0,1214.16
39.0,90.0,1214.16
