世代,ペナルティ関数値,総移動コスト
1.0,213.29,1414.0
2.0,213.29,1414.76
3.0,213.29,1414.76
4.0,213.29,1414.76
5.0,213.29,1414.76
6.0,213.29,1414.76
7.0,210.47,1419.07
8.0,200.47,1415.26
9.0,200.47,1413.37
10.0,181.29,1417.0
11.0,181.29,1417.0
12.0,181.29,1414.84
13.0,164.12,1422.8
14.0,164.12,1422.8
15.0,164.12,1424.19
16.0,164.12,1424.19
17.0,164.12,1424.19
18.0,158.12,1426.02
19.0,158.12,1426.02
20.0,158.12,1426.02
21.0,158.12,1431.86
22.0,158.12,1428.94
23.0,154.12,1429.83
24.0,154.12,1429.83
25.0,154.12,1432.53
26.0,154.12,1432.53
27.0,154.12,1442.76
28.0,154.12,1442.76
29.0,154.12,1442.76
30.0,140.12,1444.38
31.0,140.12,1441.75
32.0,140.12,1441.75
33.0,140.12,1448.97
34.0,140.12,1448.97
35.0,140.12,1448.97
36.0,140.12,1448.97
37.0,140.12,1448.97
38.0,140.12,1448.97
39.0,140.12,1448.97
40.0,140.12,1448.97
41.0,140.12,1448.97
