世代,ペナルティ関数値,総移動コスト
1.0,375.08,907.0
2.0,345.08,1057.51
3.0,329.08,1012.52
4.0,321.08,1018.76
5.0,321.08,1018.76
6.0,321.08,1018.76
7.0,291.08,1015.96
8.0,279.38,1054.66
9.0,279.38,1054.66
10.0,279.38,1054.66
11.0,279.38,1054.66
12.0,229.08,1044.76
13.0,229.08,1044.76
14.0,226.92,1024.99
15.0,226.92,1024.99
16.0,226.92,1085.7
17.0,223.08,1028.96
18.0,223.08,1028.96
19.0,223.08,1023.17
20.0,196.92,1084.14
21.0,196.92,1084.14
22.0,196.92,1084.14
23.0,196.92,1084.14
24.0,190.92,1036.61
25.0,190.92,1036.61
26.0,176.92,1047.26
27.0,176.92,1047.26
28.0,176.92,1047.26
29.0,176.92,1047.26
30.0,176.92,1047.5
31.0,168.92,1057.4
32.0,164.92,1058.01
33.0,164.92,1058.01
34.0,152.92,1100.53
35.0,148.92,1099.93
36.0,148.92,1095.18
37.0,148.92,1095.18
38.0,145.08,1105.76
39.0,118.92,1059.51
40.0,118.92,1059.51
41.0,118.92,1059.51
42.0,118.92,1059.51
43.0,118.92,1059.51
44.0,118.92,1059.51
45.0,118.92,1059.51
46.0,118.92,1059.51
47.0,101.08,1066.93
48.0,101.08,1066.93
49.0,101.08,1066.93
50.0,101.08,1066.93
51.0,101.08,1066.93
52.0,101.08,1066.93
53.0,101.08,1066.93
54.0,101.08,1066.93
55.0,90.92,1097.59
56.0,90.92,1097.59
57.0,90.92,1089.47
58.0,90.92,1089.47
59.0,89.08,1081.05
60.0,70.92,1097.49
61.0,70.92,1097.49
62.0,70.92,1097.49
63.0,70.92,1097.49
64.0,70.77,1114.05
65.0,70.77,1098.05
66.0,60.92,1102.04
67.0,60.77,1100.69
68.0,60.77,1100.69
69.0,60.77,1100.69
70.0,60.77,1100.69
71.0,60.77,1100.69
72.0,60.77,1104.74
73.0,60.77,1104.74
74.0,60.62,1102.77
75.0,60.62,1102.77
76.0,60.62,1101.81
77.0,60.62,1101.81
78.0,60.62,1128.42
79.0,60.62,1129.35
80.0,60.62,1129.35
81.0,60.62,1129.35
82.0,60.62,1129.35
83.0,60.62,1129.35
84.0,60.62,1129.35
85.0,60.62,1125.02
