世代,ペナルティ関数値,総移動コスト
1.0,442.55,901.0
2.0,410.55,1110.37
3.0,410.55,1110.37
4.0,382.55,1123.22
5.0,364.55,1122.51
6.0,352.55,1125.6
7.0,340.55,1117.03
8.0,340.55,1117.03
9.0,319.45,1083.95
10.0,313.45,1146.1
11.0,313.45,1146.1
12.0,260.55,1138.7
13.0,251.64,1142.35
14.0,251.64,1142.35
15.0,237.64,1148.94
16.0,237.64,1148.94
17.0,237.64,1148.94
18.0,237.64,1148.94
19.0,231.64,1163.82
20.0,218.55,1156.17
21.0,211.45,1182.2
22.0,206.55,1185.0
23.0,163.64,1156.35
24.0,144.55,1165.55
25.0,144.55,1165.55
26.0,136.73,1151.87
27.0,136.73,1151.87
28.0,121.82,1157.11
29.0,118.91,1153.74
30.0,118.91,1153.74
31.0,118.91,1153.74
32.0,118.91,1153.74
33.0,118.91,1153.74
34.0,118.91,1153.74
35.0,118.91,1153.74
36.0,118.91,1153.74
37.0,118.91,1153.74
38.0,118.91,1153.74
39.0,118.91,1153.74
40.0,118.91,1153.74
