世代,ペナルティ関数値,総移動コスト
1.0,191.0,583.0
2.0,141.25,711.21
3.0,135.25,694.61
4.0,127.5,698.92
5.0,127.5,729.39
6.0,99.5,736.69
7.0,99.5,736.69
8.0,99.5,731.51
9.0,93.25,776.7
10.0,93.25,789.29
11.0,91.5,768.69
12.0,89.25,736.46
13.0,89.25,736.46
14.0,87.5,783.93
15.0,85.5,779.07
16.0,85.5,779.07
17.0,85.5,800.78
18.0,85.5,793.76
19.0,79.25,795.94
20.0,79.25,795.94
21.0,69.25,816.73
22.0,69.25,816.73
23.0,69.25,819.93
24.0,63.5,809.98
25.0,63.5,809.98
26.0,63.5,809.98
27.0,61.75,770.39
28.0,61.75,770.39
29.0,61.75,770.39
30.0,61.75,770.39
31.0,61.75,770.39
32.0,61.75,806.38
33.0,61.75,806.38
34.0,61.75,806.38
35.0,61.75,806.38
36.0,61.75,806.38
37.0,61.75,806.38
38.0,61.75,806.38
