世代,ペナルティ関数値,総移動コスト
1.0,612.0,1124.0
2.0,542.0,1357.73
3.0,462.0,1342.41
4.0,462.0,1342.41
5.0,440.0,1369.72
6.0,440.0,1369.72
7.0,416.0,1348.29
8.0,416.0,1348.29
9.0,404.0,1373.39
10.0,356.0,1370.68
11.0,306.0,1356.31
12.0,306.0,1356.31
13.0,306.0,1356.31
14.0,306.0,1356.31
15.0,306.0,1356.31
16.0,306.0,1356.31
17.0,306.0,1356.31
18.0,306.0,1356.31
19.0,270.0,1388.56
20.0,270.0,1388.56
21.0,232.0,1391.94
22.0,232.0,1391.94
23.0,226.0,1372.72
24.0,204.0,1371.89
25.0,204.0,1371.89
26.0,204.0,1371.89
27.0,198.0,1384.96
28.0,186.0,1401.39
29.0,186.0,1401.39
30.0,176.0,1378.12
31.0,176.0,1378.12
32.0,176.0,1378.12
33.0,170.0,1398.2
34.0,170.0,1389.78
35.0,150.0,1397.63
36.0,150.0,1397.63
37.0,126.0,1397.91
38.0,126.0,1397.91
39.0,126.0,1397.91
40.0,126.0,1397.91
41.0,126.0,1397.91
42.0,126.0,1397.91
43.0,126.0,1397.91
44.0,92.0,1391.8
45.0,92.0,1391.8
46.0,92.0,1391.8
47.0,92.0,1391.8
48.0,92.0,1391.8
49.0,92.0,1391.8
50.0,90.0,1424.62
51.0,90.0,1424.62
52.0,90.0,1420.72
53.0,90.0,1420.72
54.0,90.0,1420.72
55.0,90.0,1420.72
56.0,86.0,1430.7
57.0,86.0,1430.7
58.0,72.0,1421.91
59.0,72.0,1421.91
60.0,72.0,1421.91
61.0,72.0,1421.91
62.0,72.0,1421.91
63.0,68.0,1416.53
64.0,68.0,1416.53
65.0,68.0,1416.53
66.0,68.0,1416.53
67.0,68.0,1416.53
68.0,54.0,1428.83
69.0,54.0,1428.83
70.0,54.0,1428.83
71.0,54.0,1428.83
72.0,54.0,1428.83
73.0,54.0,1428.83
74.0,54.0,1428.83
75.0,54.0,1428.83
76.0,54.0,1428.83
77.0,54.0,1428.83
78.0,54.0,1428.83
79.0,54.0,1444.81
