α,値,実行,ルート数,距離
0,0.01,success,10,850.11
1,0.0125892541179,success,10,823.19
2,0.0158489319246,success,10,826.82
3,0.0199526231497,success,10,825.54
4,0.0251188643151,success,10,829.41
5,0.0316227766017,success,10,828.47
6,0.0398107170553,success,10,828.98
7,0.0501187233627,success,10,886.18
8,0.063095734448,success,10,829.55
9,0.0794328234724,success,10,854.07
10,0.1,success,10,840.49
11,0.125892541179,success,10,840.44
12,0.158489319246,success,10,830.09
13,0.199526231497,success,10,822.84
14,0.251188643151,error,10,864.52
15,0.316227766017,success,10,826.71
16,0.398107170553,success,10,831.14
17,0.501187233627,success,10,836.07
18,0.63095734448,error,10,856.52
19,0.794328234724,success,10,828.36
20,1.0,success,10,850.23
21,1.25892541179,error,10,847.47
22,1.58489319246,error,10,851.63
23,1.99526231497,success,10,832.2
24,2.51188643151,success,10,862.46
25,3.16227766017,success,10,886.43
26,3.98107170553,success,10,879.75
27,5.01187233627,success,10,823.76
28,6.3095734448,success,10,836.89
29,7.94328234724,success,10,843.51
30,10.0,success,9,850.46
31,12.5892541179,success,10,831.01
32,15.8489319246,success,10,832.34
33,19.9526231497,success,10,825.36
34,25.1188643151,success,10,862.28
35,31.6227766017,success,10,827.28
36,39.8107170553,success,10,857.56
37,50.1187233627,success,10,833.63
38,63.095734448,success,10,862.2
39,79.4328234724,error,9,831.44
40,100.0,success,10,824.64
"[0, 13]","[17, 13]","[18, 17]","[19, 18]","[19, 15]","[15, 16]","[14, 16]","[12, 14]","[12, 11]","[0, 23]","[23, 26]","[28, 26]","[30, 28]","[30, 29]","[27, 29]","[25, 27]","[24, 25]","[24, 22]","[21, 22]","[20, 21]","[20, 0]","[0, 34]","[36, 34]","[36, 39]","[39, 38]","[37, 38]","[37, 35]","[35, 31]","[31, 33]","[33, 32]","[32, 0]","[0, 43]","[43, 42]","[42, 41]","[41, 40]","[40, 44]","[44, 46]","[46, 45]","[45, 48]","[51, 48]","[50, 51]","[50, 52]","[49, 52]","[47, 49]","[47, 0]","[0, 57]","[57, 55]","[54, 55]","[53, 54]","[53, 56]","[58, 56]","[60, 58]","[59, 60]","[0, 59]","[0, 68]","[68, 64]","[64, 61]","[72, 61]","[72, 80]","[79, 80]","[77, 79]","[77, 73]","[73, 70]","[71, 70]","[71, 76]","[78, 76]","[81, 78]","[81, 0]","[0, 69]","[69, 66]","[62, 66]","[74, 62]","[74, 63]","[65, 63]","[67, 65]","[67, 0]","[0, 91]","[89, 91]","[88, 89]","[85, 88]","[84, 85]","[84, 82]","[82, 83]","[83, 86]","[87, 86]","[90, 87]","[90, 0]","[0, 99]","[99, 100]","[100, 97]","[97, 93]","[93, 92]","[92, 94]","[94, 95]","[96, 95]","[98, 96]","[98, 0]","[2, 1]","[75, 1]","[75, 0]","[5, 0]","[3, 5]","[7, 3]","[9, 8]","[6, 9]","[4, 6]","[4, 2]","[7, 10]","[10, 8]","[11, 0]"
最短コスト:,822.84
計算時間：,1408.2859470844269
修正時間：,358.08903217315674
トラック容量：,200,期間制約,1040
サービス時間：,90
