α,値,実行,ルート数,距離
0,0.01,success,11,1001.69
1,0.0125892541179,error,10,876.43
2,0.0158489319246,error,10,969.2
3,0.0199526231497,error,10,896.02
4,0.0251188643151,error,10,883.8
5,0.0316227766017,success,11,1039.5
6,0.0398107170553,error,10,868.83
7,0.0501187233627,error,10,890.24
8,0.063095734448,success,11,1025.83
9,0.0794328234724,error,10,911.04
10,0.1,error,10,889.44
11,0.125892541179,error,10,893.86
12,0.158489319246,error,10,869.42
13,0.199526231497,error,10,883.86
14,0.251188643151,error,10,873.04
15,0.316227766017,error,10,878.49
16,0.398107170553,error,10,884.41
17,0.501187233627,success,11,902.59
18,0.63095734448,success,11,987.47
19,0.794328234724,success,11,930.88
20,1.0,success,11,1023.28
21,1.25892541179,success,11,900.62
22,1.58489319246,success,11,975.47
23,1.99526231497,success,11,905.11
24,2.51188643151,success,11,907.77
25,3.16227766017,error,10,886.48
26,3.98107170553,error,10,907.09
27,5.01187233627,success,11,1027.82
28,6.3095734448,success,11,898.39
29,7.94328234724,success,11,952.51
30,10.0,success,11,948.15
31,12.5892541179,success,11,912.12
32,15.8489319246,success,10,941.96
33,19.9526231497,success,11,980.45
34,25.1188643151,success,11,1014.21
35,31.6227766017,success,11,908.55
36,39.8107170553,error,10,886.26
37,50.1187233627,error,9,892.45
38,63.095734448,success,10,872.59
39,79.4328234724,success,11,953.03
40,100.0,error,10,953.68
"[0, 1]","[43, 1]","[43, 42]","[64, 42]","[64, 41]","[56, 41]","[23, 56]","[63, 23]","[63, 0]","[0, 2]","[2, 62]","[22, 62]","[28, 22]","[61, 28]","[61, 21]","[21, 74]","[74, 0]","[0, 4]","[4, 45]","[45, 27]","[52, 27]","[34, 52]","[67, 34]","[67, 0]","[0, 7]","[35, 7]","[53, 35]","[11, 53]","[11, 58]","[72, 58]","[40, 72]","[40, 0]","[0, 12]","[12, 39]","[9, 39]","[9, 44]","[44, 3]","[3, 24]","[49, 24]","[16, 49]","[16, 0]","[0, 32]","[50, 32]","[18, 50]","[18, 55]","[55, 25]","[25, 31]","[31, 10]","[10, 0]","[0, 38]","[38, 65]","[66, 65]","[66, 59]","[59, 14]","[14, 19]","[19, 0]","[0, 47]","[47, 36]","[69, 36]","[69, 71]","[71, 60]","[60, 70]","[20, 70]","[37, 20]","[37, 5]","[5, 29]","[29, 0]","[0, 75]","[75, 68]","[73, 68]","[73, 33]","[33, 6]","[6, 51]","[51, 17]","[26, 17]","[26, 0]","[8, 46]","[46, 0]","[30, 0]","[48, 30]","[48, 15]","[57, 15]","[13, 57]","[54, 13]","[54, 8]"
最短コスト:,872.59
計算時間：,2756.749927043915
修正時間：,1748.8854970932007
トラック容量：,140,期間制約,160
サービス時間：,10
