α,値,実行,ルート数,距離
0,0.01,error,6,1216.87
1,0.0125892541179,success,7,1067.29
2,0.0158489319246,error,7,1045.62
3,0.0199526231497,error,7,1041.17
4,0.0251188643151,error,7,1044.69
5,0.0316227766017,error,7,1046.77
6,0.0398107170553,error,7,1038.34
7,0.0501187233627,error,7,1041.05
8,0.063095734448,error,6,1043.41
9,0.0794328234724,error,7,1041.4
10,0.1,error,8,1051.1
11,0.125892541179,error,7,1044.92
12,0.158489319246,error,7,1049.54
13,0.199526231497,error,7,1042.53
14,0.251188643151,success,8,1082.17
15,0.316227766017,error,8,1057.64
16,0.398107170553,error,7,1042.99
17,0.501187233627,error,7,1058.52
18,0.63095734448,error,7,1045.36
19,0.794328234724,error,7,1047.63
20,1.0,error,7,1052.8
21,1.25892541179,success,7,1074.47
22,1.58489319246,success,8,1071.25
23,1.99526231497,success,7,1054.58
24,2.51188643151,success,8,1060.53
25,3.16227766017,success,7,1058.97
26,3.98107170553,success,7,1056.69
27,5.01187233627,success,7,1051.78
28,6.3095734448,success,7,1097.0
29,7.94328234724,success,7,1049.05
30,10.0,success,7,1081.5
31,12.5892541179,error,7,1100.99
32,15.8489319246,success,7,1053.47
33,19.9526231497,success,7,1047.5
34,25.1188643151,success,7,1048.01
35,31.6227766017,success,7,1061.31
36,39.8107170553,error,7,1132.32
37,50.1187233627,success,7,1059.8
38,63.095734448,success,7,1057.5
39,79.4328234724,success,7,1058.74
40,100.0,success,8,1054.87
"[0, 8]","[8, 12]","[13, 12]","[14, 13]","[15, 14]","[15, 11]","[10, 11]","[9, 10]","[9, 7]","[6, 7]","[5, 6]","[5, 4]","[4, 3]","[1, 3]","[1, 2]","[2, 0]","[0, 82]","[81, 82]","[119, 81]","[119, 120]","[120, 105]","[105, 106]","[102, 106]","[101, 102]","[99, 101]","[104, 99]","[103, 104]","[100, 103]","[116, 100]","[116, 115]","[115, 97]","[97, 94]","[93, 94]","[96, 93]","[95, 96]","[95, 0]","[0, 88]","[88, 111]","[111, 86]","[86, 85]","[85, 112]","[112, 84]","[117, 84]","[117, 113]","[83, 113]","[83, 108]","[118, 108]","[18, 118]","[114, 18]","[114, 90]","[90, 91]","[89, 91]","[92, 89]","[87, 92]","[87, 0]","[0, 98]","[98, 68]","[68, 73]","[76, 73]","[77, 76]","[77, 79]","[79, 80]","[80, 78]","[78, 75]","[75, 72]","[72, 74]","[71, 74]","[71, 70]","[70, 69]","[67, 69]","[67, 0]","[0, 107]","[107, 53]","[53, 55]","[55, 58]","[56, 58]","[60, 56]","[63, 60]","[63, 66]","[66, 64]","[62, 64]","[61, 62]","[65, 61]","[65, 59]","[59, 57]","[54, 57]","[52, 54]","[52, 0]","[0, 109]","[17, 109]","[16, 17]","[19, 16]","[19, 25]","[25, 22]","[22, 24]","[24, 27]","[27, 33]","[30, 33]","[31, 30]","[34, 31]","[36, 34]","[36, 29]","[29, 35]","[32, 35]","[28, 32]","[28, 26]","[23, 26]","[20, 23]","[21, 20]","[21, 0]","[0, 110]","[110, 40]","[43, 40]","[45, 43]","[48, 45]","[48, 51]","[51, 50]","[50, 49]","[46, 49]","[47, 46]","[47, 44]","[44, 41]","[41, 42]","[42, 39]","[39, 38]","[37, 38]","[37, 0]"
最短コスト:,1047.5
計算時間：,6099.397056341171
修正時間：,4160.906048774719
トラック容量：,200,期間制約,720
サービス時間：,50
