世代,ペナルティ関数値,総移動コスト
1.0,596.0,1127.0
2.0,562.0,1317.27
3.0,550.0,1328.63
4.0,530.0,1335.97
5.0,516.0,1313.32
6.0,444.0,1312.06
7.0,444.0,1312.06
8.0,444.0,1312.06
9.0,444.0,1312.06
10.0,444.0,1312.06
11.0,444.0,1312.06
12.0,444.0,1312.06
13.0,398.0,1315.18
14.0,366.0,1318.73
15.0,332.0,1328.51
16.0,328.0,1327.82
17.0,310.0,1326.94
18.0,310.0,1326.94
19.0,296.0,1331.66
20.0,296.0,1331.66
21.0,296.0,1331.66
22.0,286.0,1325.36
23.0,280.0,1327.43
24.0,280.0,1327.43
25.0,276.0,1343.65
26.0,276.0,1343.65
27.0,276.0,1343.65
28.0,268.0,1328.14
29.0,254.0,1325.75
30.0,224.0,1361.13
31.0,218.0,1368.82
32.0,218.0,1368.82
33.0,218.0,1368.82
34.0,218.0,1368.82
35.0,216.0,1379.74
36.0,216.0,1379.74
37.0,216.0,1379.74
38.0,216.0,1379.74
39.0,216.0,1379.74
40.0,216.0,1379.74
41.0,216.0,1379.74
42.0,216.0,1379.74
43.0,216.0,1379.74
44.0,216.0,1379.74
45.0,216.0,1379.74
46.0,216.0,1379.74
