世代,ペナルティ関数値,総移動コスト
1.0,191.0,581.0
2.0,166.75,714.27
3.0,147.0,680.62
4.0,113.25,729.34
5.0,109.0,696.8
6.0,99.5,731.98
7.0,99.5,731.98
8.0,89.5,734.1
9.0,89.5,734.1
10.0,81.0,789.89
11.0,81.0,789.89
12.0,81.0,789.89
13.0,65.5,772.07
14.0,65.5,772.07
15.0,65.5,772.07
16.0,65.5,763.87
17.0,61.75,755.18
18.0,61.75,755.6
19.0,61.75,787.11
20.0,61.75,783.81
21.0,59.5,794.57
22.0,45.25,799.22
23.0,21.5,797.23
24.0,21.5,797.23
25.0,21.5,803.67
26.0,21.5,782.51
27.0,21.5,782.51
28.0,21.5,782.51
29.0,21.5,782.51
30.0,21.5,809.58
31.0,21.25,827.83
32.0,21.25,827.83
33.0,15.0,843.92
34.0,15.0,843.92
35.0,15.0,846.14
36.0,15.0,846.14
37.0,15.0,846.14
38.0,15.0,846.14
39.0,15.0,846.14
40.0,15.0,827.06
41.0,14.75,885.13
42.0,14.75,885.13
43.0,14.75,885.13
44.0,14.75,885.13
45.0,14.75,885.13
46.0,14.75,885.13
47.0,14.75,885.13
48.0,14.75,885.13
49.0,14.75,885.13
50.0,14.75,885.13
51.0,14.75,885.13
52.0,14.75,885.13
