世代,ペナルティ関数値,総移動コスト
1.0,774.8,1415.0
2.0,774.8,1415.0
3.0,774.8,1415.0
4.0,774.8,1415.0
5.0,766.2,1616.62
6.0,766.2,1616.62
7.0,766.2,1616.62
8.0,766.2,1616.62
9.0,744.8,1610.35
10.0,744.8,1610.35
11.0,742.8,1610.2
12.0,700.2,1586.85
13.0,700.2,1586.85
14.0,700.2,1585.65
15.0,700.2,1585.65
16.0,700.2,1585.65
17.0,700.2,1585.65
18.0,689.6,1599.33
19.0,652.2,1596.67
20.0,646.2,1623.3
21.0,646.2,1623.3
22.0,627.4,1602.82
23.0,627.4,1602.82
24.0,614.8,1589.72
25.0,614.8,1589.72
26.0,614.8,1589.72
27.0,609.4,1587.25
28.0,609.4,1587.25
29.0,609.4,1587.25
30.0,609.4,1587.25
31.0,609.4,1587.25
32.0,609.4,1587.25
33.0,604.0,1591.72
34.0,604.0,1591.72
35.0,565.4,1605.73
36.0,543.4,1601.38
37.0,543.4,1601.38
38.0,506.0,1599.91
39.0,506.0,1599.91
40.0,506.0,1599.91
41.0,506.0,1599.91
42.0,506.0,1599.91
43.0,506.0,1599.91
44.0,506.0,1599.91
45.0,506.0,1599.91
46.0,506.0,1599.91
47.0,506.0,1599.91
48.0,506.0,1599.91
49.0,505.4,1671.34
50.0,505.4,1671.34
51.0,505.4,1671.34
52.0,500.0,1669.73
53.0,496.0,1618.68
54.0,468.8,1663.07
55.0,468.8,1663.07
56.0,468.8,1663.07
57.0,468.8,1663.07
58.0,433.4,1692.24
59.0,404.0,1690.88
60.0,404.0,1690.88
61.0,404.0,1690.88
62.0,404.0,1690.88
63.0,371.4,1699.62
64.0,371.4,1699.62
65.0,366.8,1693.41
66.0,366.8,1693.41
67.0,366.8,1693.41
68.0,366.8,1693.41
69.0,366.8,1693.41
70.0,366.8,1693.41
71.0,366.8,1693.41
72.0,366.8,1693.41
73.0,366.8,1693.41
74.0,366.8,1693.41
75.0,366.8,1693.41
76.0,366.8,1693.41
