世代,ペナルティ関数値,総移動コスト
1.0,606.0,1128.0
2.0,576.0,1375.75
3.0,524.0,1370.15
4.0,524.0,1370.15
5.0,524.0,1370.15
6.0,524.0,1370.15
7.0,464.0,1367.1
8.0,464.0,1367.1
9.0,418.0,1384.43
10.0,372.0,1385.8
11.0,372.0,1385.8
12.0,372.0,1393.3
13.0,372.0,1386.52
14.0,368.0,1389.79
15.0,334.0,1380.77
16.0,308.0,1391.26
17.0,252.0,1325.82
18.0,252.0,1325.82
19.0,252.0,1325.82
20.0,252.0,1325.82
21.0,252.0,1325.82
22.0,240.0,1396.52
23.0,240.0,1396.52
24.0,230.0,1427.23
25.0,230.0,1427.23
26.0,216.0,1398.1
27.0,216.0,1398.1
28.0,216.0,1439.3
29.0,216.0,1439.3
30.0,210.0,1404.56
31.0,210.0,1449.32
32.0,206.0,1402.5
33.0,206.0,1432.82
34.0,206.0,1432.82
35.0,206.0,1432.82
36.0,206.0,1419.66
37.0,206.0,1419.66
38.0,206.0,1419.66
39.0,206.0,1419.66
40.0,206.0,1419.66
41.0,206.0,1419.66
42.0,206.0,1419.66
43.0,206.0,1419.66
