世代,ペナルティ関数値,総移動コスト
1.0,412.55,899.0
2.0,387.45,1102.16
3.0,352.55,1100.9
4.0,339.45,1107.33
5.0,321.45,1101.72
6.0,301.64,1145.31
7.0,252.73,1154.16
8.0,237.45,1105.75
9.0,213.45,1113.09
10.0,197.45,1145.99
11.0,192.55,1133.39
12.0,176.36,1136.67
13.0,176.36,1136.67
14.0,157.64,1133.64
15.0,157.64,1133.64
16.0,157.64,1133.64
17.0,157.64,1133.64
18.0,138.73,1162.16
19.0,138.73,1162.16
20.0,133.64,1195.92
21.0,112.55,1180.27
22.0,112.55,1187.18
23.0,95.64,1187.1
24.0,95.64,1187.1
25.0,83.64,1136.94
26.0,81.64,1192.79
27.0,79.64,1149.8
28.0,79.64,1146.82
29.0,63.64,1169.87
30.0,63.64,1169.87
31.0,63.64,1169.87
32.0,60.73,1177.04
33.0,57.64,1176.97
34.0,56.55,1206.46
35.0,56.55,1207.22
36.0,56.55,1207.22
37.0,49.45,1161.64
38.0,49.45,1161.64
39.0,49.45,1170.57
40.0,43.64,1263.89
41.0,43.64,1263.89
42.0,42.73,1236.72
43.0,42.73,1236.72
44.0,42.73,1247.0
45.0,42.73,1232.35
46.0,37.82,1245.03
47.0,37.82,1245.03
48.0,37.82,1236.5
49.0,37.82,1236.5
50.0,37.82,1236.5
51.0,37.82,1236.5
52.0,37.82,1236.5
53.0,37.82,1236.5
54.0,37.82,1236.5
55.0,37.82,1236.5
56.0,37.82,1236.5
57.0,37.82,1236.5
