世代,ペナルティ関数値,総移動コスト
1.0,700.35,1128.0
2.0,670.47,1392.97
3.0,654.47,1394.55
4.0,654.47,1394.55
5.0,618.35,1470.86
6.0,618.35,1470.86
7.0,550.47,1465.59
8.0,528.47,1466.71
9.0,526.47,1468.01
10.0,483.41,1472.55
11.0,469.41,1476.71
12.0,397.41,1477.26
13.0,360.47,1483.33
14.0,347.53,1492.03
15.0,347.53,1492.03
16.0,317.53,1481.95
17.0,304.59,1470.42
18.0,269.53,1486.69
19.0,266.59,1493.55
20.0,254.59,1490.07
21.0,245.53,1491.15
22.0,227.53,1482.89
23.0,220.47,1494.7
24.0,212.59,1492.58
25.0,195.41,1502.92
26.0,185.65,1515.98
27.0,180.59,1494.57
28.0,168.59,1501.52
29.0,168.59,1531.44
30.0,168.59,1531.44
31.0,168.59,1531.44
32.0,167.53,1497.0
33.0,162.59,1544.51
34.0,159.53,1538.71
35.0,159.53,1538.59
36.0,157.53,1547.41
37.0,156.47,1537.01
38.0,153.41,1532.25
39.0,153.41,1544.17
40.0,149.53,1558.05
41.0,149.53,1558.05
42.0,149.53,1551.05
43.0,148.59,1549.11
44.0,148.59,1549.11
45.0,145.65,1539.42
46.0,145.65,1540.48
47.0,145.65,1540.48
48.0,145.65,1535.65
49.0,145.65,1535.65
50.0,145.65,1535.65
51.0,145.65,1535.65
52.0,145.65,1562.03
53.0,145.65,1562.03
54.0,145.65,1562.03
55.0,145.65,1562.03
56.0,145.65,1562.03
