α,値,実行,ルート数,距離
0,0.01,success,14,1323.04
1,0.0125892541179,success,14,1307.95
2,0.0158489319246,success,15,1318.27
3,0.0199526231497,success,15,1263.21
4,0.0251188643151,success,15,1280.48
5,0.0316227766017,success,15,1439.23
6,0.0398107170553,success,15,1352.45
7,0.0501187233627,success,15,1383.74
8,0.063095734448,success,15,1333.66
9,0.0794328234724,success,15,1365.08
10,0.1,success,15,1314.58
11,0.125892541179,success,15,1301.53
12,0.158489319246,success,15,1275.64
13,0.199526231497,success,15,1296.7
14,0.251188643151,success,15,1305.97
15,0.316227766017,success,15,1387.65
16,0.398107170553,success,15,1348.44
17,0.501187233627,success,15,1270.82
18,0.63095734448,success,14,1394.16
19,0.794328234724,success,15,1303.71
20,1.0,success,15,1333.55
21,1.25892541179,success,15,1291.69
22,1.58489319246,success,15,1281.19
23,1.99526231497,success,15,1384.46
24,2.51188643151,success,14,1348.71
25,3.16227766017,success,15,1299.43
26,3.98107170553,success,14,1312.83
27,5.01187233627,success,14,1302.22
28,6.3095734448,success,12,1290.58
29,7.94328234724,success,15,1349.71
30,10.0,success,14,1359.37
31,12.5892541179,success,15,1313.9
32,15.8489319246,success,15,1296.58
33,19.9526231497,success,15,1392.01
34,25.1188643151,success,15,1338.4
35,31.6227766017,success,15,1336.42
36,39.8107170553,success,15,1299.73
37,50.1187233627,success,15,1286.84
38,63.095734448,success,15,1320.47
39,79.4328234724,success,14,1391.22
40,100.0,success,15,1270.86
"[0, 5]","[5, 84]","[84, 17]","[17, 113]","[113, 61]","[61, 86]","[86, 141]","[16, 141]","[16, 0]","[0, 13]","[13, 117]","[117, 95]","[97, 95]","[97, 92]","[37, 92]","[100, 37]","[98, 100]","[98, 59]","[59, 104]","[99, 104]","[99, 96]","[96, 0]","[0, 21]","[21, 73]","[72, 73]","[110, 72]","[110, 4]","[4, 149]","[149, 26]","[26, 109]","[109, 12]","[12, 138]","[0, 138]","[0, 33]","[33, 81]","[81, 120]","[120, 9]","[103, 9]","[71, 103]","[71, 65]","[65, 136]","[136, 35]","[35, 135]","[135, 34]","[34, 78]","[78, 0]","[0, 56]","[56, 23]","[23, 67]","[67, 39]","[39, 139]","[139, 25]","[25, 55]","[55, 130]","[130, 54]","[54, 0]","[0, 58]","[58, 40]","[40, 2]","[2, 115]","[145, 115]","[41, 145]","[41, 133]","[22, 133]","[22, 74]","[74, 75]","[0, 75]","[0, 64]","[49, 64]","[143, 49]","[36, 143]","[36, 47]","[47, 124]","[46, 124]","[46, 0]","[0, 76]","[76, 116]","[77, 116]","[3, 77]","[3, 79]","[79, 129]","[121, 129]","[121, 29]","[29, 24]","[24, 134]","[134, 80]","[150, 80]","[68, 150]","[68, 0]","[0, 82]","[82, 48]","[123, 48]","[19, 123]","[107, 19]","[11, 107]","[11, 108]","[108, 10]","[62, 10]","[62, 148]","[148, 88]","[88, 0]","[0, 89]","[89, 147]","[147, 6]","[6, 87]","[87, 42]","[42, 142]","[142, 43]","[43, 15]","[15, 57]","[144, 57]","[137, 144]","[137, 0]","[0, 94]","[94, 93]","[85, 93]","[91, 85]","[44, 91]","[119, 44]","[14, 119]","[14, 38]","[38, 140]","[0, 140]","[0, 112]","[112, 53]","[53, 105]","[105, 0]","[0, 118]","[118, 60]","[83, 60]","[125, 83]","[45, 125]","[45, 8]","[114, 8]","[114, 18]","[18, 106]","[106, 7]","[7, 52]","[52, 146]","[146, 0]","[0, 132]","[69, 132]","[1, 69]","[1, 20]","[20, 66]","[66, 128]","[131, 128]","[32, 131]","[90, 32]","[63, 90]","[126, 63]","[126, 0]","[27, 0]","[27, 127]","[127, 31]","[31, 101]","[101, 70]","[70, 30]","[30, 122]","[122, 51]","[51, 102]","[50, 102]","[111, 50]","[111, 28]","[28, 0]"
最短コスト:,1263.21
計算時間：,3698.921418905258
修正時間：,634.4700198173523
トラック容量：,200,期間制約,200
サービス時間：,10
