α,値,実行,ルート数,距離
0,0.01,success,12,1033.97
1,0.0125892541179,success,12,1021.04
2,0.0158489319246,success,12,977.78
3,0.0199526231497,success,11,1028.04
4,0.0251188643151,success,11,1013.22
5,0.0316227766017,error,11,907.92
6,0.0398107170553,success,11,1046.73
7,0.0501187233627,error,11,937.8
8,0.063095734448,success,11,1002.94
9,0.0794328234724,success,12,1053.02
10,0.1,success,12,976.63
11,0.125892541179,error,10,942.09
12,0.158489319246,success,12,1023.62
13,0.199526231497,success,12,1036.94
14,0.251188643151,success,11,1080.62
15,0.316227766017,error,11,930.97
16,0.398107170553,success,12,965.67
17,0.501187233627,success,11,975.07
18,0.63095734448,success,12,1015.71
19,0.794328234724,success,12,1034.43
20,1.0,success,11,978.78
21,1.25892541179,success,12,943.79
22,1.58489319246,success,11,954.0
23,1.99526231497,success,12,992.62
24,2.51188643151,success,11,916.71
25,3.16227766017,success,11,908.59
26,3.98107170553,success,12,953.93
27,5.01187233627,success,12,1112.71
28,6.3095734448,success,12,1067.65
29,7.94328234724,success,11,962.7
30,10.0,success,11,942.62
31,12.5892541179,success,12,1017.26
32,15.8489319246,success,12,985.66
33,19.9526231497,success,12,1139.82
34,25.1188643151,success,12,984.19
35,31.6227766017,success,12,1001.26
36,39.8107170553,success,12,947.67
37,50.1187233627,success,12,991.34
38,63.095734448,success,11,914.49
39,79.4328234724,success,12,970.1
40,100.0,success,12,990.71
"[0, 6]","[6, 33]","[73, 33]","[1, 73]","[1, 49]","[49, 24]","[44, 24]","[3, 44]","[3, 0]","[0, 10]","[10, 31]","[25, 31]","[55, 25]","[55, 18]","[18, 50]","[32, 50]","[32, 0]","[0, 26]","[12, 26]","[40, 12]","[40, 16]","[16, 63]","[63, 51]","[17, 51]","[17, 0]","[0, 27]","[27, 52]","[13, 52]","[54, 13]","[54, 19]","[19, 7]","[7, 46]","[46, 34]","[34, 0]","[0, 29]","[5, 29]","[36, 5]","[69, 36]","[69, 71]","[71, 60]","[70, 60]","[20, 70]","[37, 20]","[37, 15]","[15, 57]","[0, 57]","[0, 35]","[35, 53]","[53, 11]","[72, 39]","[39, 9]","[9, 0]","[0, 48]","[47, 48]","[21, 47]","[21, 61]","[61, 74]","[74, 28]","[28, 0]","[0, 67]","[67, 4]","[45, 4]","[30, 45]","[2, 30]","[68, 2]","[68, 0]","[0, 75]","[75, 0]","[8, 0]","[8, 14]","[14, 59]","[59, 66]","[66, 65]","[22, 64]","[64, 42]","[42, 43]","[43, 41]","[56, 41]","[23, 56]","[23, 0]","[62, 0]","[62, 22]","[58, 0]","[11, 38]","[72, 38]","[58, 65]"
最短コスト:,908.59
計算時間：,1904.721517086029
修正時間：,941.9417064189911
トラック容量：,140,期間制約,160
サービス時間：,10
