α,値,実行,ルート数,距離
0,0.01,success,10,900.53
1,0.0125892541179,error,9,793.13
2,0.0158489319246,error,9,786.34
3,0.0199526231497,error,9,797.9
4,0.0251188643151,success,10,837.95
5,0.0316227766017,success,10,823.36
6,0.0398107170553,error,8,792.43
7,0.0501187233627,success,10,901.6
8,0.063095734448,error,9,795.73
9,0.0794328234724,success,10,879.73
10,0.1,success,10,831.36
11,0.125892541179,error,9,792.79
12,0.158489319246,success,10,851.48
13,0.199526231497,success,10,832.12
14,0.251188643151,success,10,824.55
15,0.316227766017,success,10,977.2
16,0.398107170553,success,10,829.14
17,0.501187233627,success,10,833.52
18,0.63095734448,succes,9,832.74
19,0.794328234724,success,10,828.41
20,1.0,error,9,877.62
21,1.25892541179,success,10,822.98
22,1.58489319246,success,10,827.54
23,1.99526231497,success,10,823.48
24,2.51188643151,success,10,860.05
25,3.16227766017,success,9,869.97
26,3.98107170553,success,9,839.32
27,5.01187233627,success,10,830.74
28,6.3095734448,success,10,827.59
29,7.94328234724,error,9,869.3
30,10.0,success,10,828.01
31,12.5892541179,success,10,826.65
32,15.8489319246,success,10,822.68
33,19.9526231497,success,10,840.05
34,25.1188643151,error,9,853.36
35,31.6227766017,success,10,855.95
36,39.8107170553,success,9,833.7
37,50.1187233627,success,10,823.49
38,63.095734448,success,10,824.74
39,79.4328234724,success,10,836.33
40,100.0,success,10,829.24
"[0, 10]","[10, 8]","[9, 8]","[6, 9]","[4, 6]","[4, 2]","[2, 1]","[75, 1]","[7, 75]","[7, 3]","[3, 5]","[5, 0]","[0, 11]","[11, 12]","[12, 14]","[14, 16]","[15, 16]","[15, 19]","[18, 19]","[17, 18]","[13, 17]","[13, 0]","[0, 20]","[20, 21]","[21, 22]","[22, 24]","[24, 25]","[25, 27]","[29, 27]","[29, 30]","[28, 30]","[26, 28]","[23, 26]","[23, 0]","[0, 43]","[43, 42]","[42, 41]","[41, 40]","[44, 40]","[44, 46]","[46, 45]","[45, 48]","[48, 51]","[51, 50]","[50, 52]","[49, 52]","[47, 49]","[47, 0]","[0, 57]","[59, 57]","[59, 60]","[58, 60]","[56, 58]","[53, 56]","[53, 54]","[54, 55]","[55, 0]","[0, 67]","[65, 67]","[63, 65]","[62, 63]","[74, 62]","[74, 72]","[72, 61]","[61, 64]","[68, 64]","[66, 68]","[69, 66]","[69, 0]","[0, 80]","[80, 79]","[77, 79]","[77, 73]","[73, 70]","[71, 70]","[71, 76]","[78, 76]","[81, 78]","[81, 82]","[83, 82]","[84, 83]","[84, 0]","[0, 91]","[89, 91]","[88, 89]","[85, 88]","[85, 86]","[87, 86]","[90, 87]","[90, 0]","[0, 98]","[98, 96]","[96, 95]","[94, 95]","[92, 94]","[93, 92]","[93, 97]","[100, 97]","[99, 100]","[99, 0]","[31, 33]","[33, 32]","[32, 0]","[34, 0]","[36, 34]","[36, 39]","[39, 38]","[37, 38]","[35, 37]","[31, 35]"
計算時間：,1458.0993342399597
修正時間：,416.18436312675476
トラック容量：,200,期間制約,inf
